Dataset 	CL_b 		CL_b_up 		CL_b_do 		CL_s+b 		CL_s+b_up 		CL_s+b_do 		CL_exp\\ 
254601		0.446512		0.446572		0.446508		0.168691		0.155115		0.183039		0.409444
254602		0.446542		0.446551		0.446432		0.140185		0.126729		0.154606		0.344616
254603		0.446129		0.446141		0.446117		0.296608		0.28676		0.306604		0.690089
254604		0.448709		0.448866		0.448451		0.126564		0.113276		0.140936		0.310650
254605		0.448003		0.448078		0.447977		0.14982		0.136815		0.163651		0.364673
254606		0.447791		0.447982		0.44749		0.0060658		0.00386191		0.00934196		0.017452
254607		0.446856		0.446983		0.446739		0.202883		0.190173		0.216104		0.485327
254608		0.447576		0.447629		0.44752		0.215621		0.202622		0.229091		0.512287
254609		0.450894		0.451342		0.450376		0.00758698		0.00506774		0.0112108		0.021178
254610		0.450365		0.4506		0.450133		0.155118		0.142401		0.16881		0.373472
254611		0.449517		0.449591		0.449368		0.0341954		0.0272585		0.0426344		0.089973
254612		0.449343		0.449646		0.448902		0.195111		0.1834		0.207237		0.464233
254613		0.446517		0.446549		0.446489		0.377152		0.372557		0.381771		0.858327
254614		0.449104		0.449308		0.448973		0.100585		0.0875923		0.115081		0.250020
254615		0.450591		0.450891		0.450106		0.00613926		0.00392083		0.0094419		0.017319
254617		0.448784		0.449079		0.448526		0.108794		0.0952852		0.123685		0.269492
254618		0.449865		0.450228		0.449602		0.0100882		0.00691407		0.0145246		0.028017
254619		0.449381		0.449286		0.449265		0.114835		0.102064		0.128699		0.282829
254620		0.449091		0.449076		0.44877		0.0227154		0.0169621		0.030059		0.061112
254621		0.446764		0.446804		0.446693		0.169863		0.157501		0.182791		0.411723
254622		0.449902		0.450138		0.449581		0.018532		0.0138134		0.0246736		0.050095
254623		0.448032		0.448088		0.447822		0.184896		0.171989		0.198206		0.443539
254625		0.446449		0.446446		0.446396		0.344407		0.338221		0.350593		0.790372
254626		0.448176		0.448238		0.448133		0.122595		0.110176		0.136061		0.302147
254627		0.446264		0.446186		0.446229		0.290813		0.280913		0.300879		0.677479
254628		0.449471		0.449804		0.449214		0.0110842		0.0077084		0.0157142		0.030736
254629		0.450741		0.451988		0.450486		0.00963742		0.00667579		0.0138233		0.026665
254630		0.448935		0.449365		0.44882		0.0635714		0.0534591		0.0752328		0.162380
254631		0.449018		0.448985		0.448826		0.0303838		0.0234913		0.0389411		0.080630
254632		0.446557		0.446621		0.446342		0.174918		0.161608		0.188729		0.423396
254633		0.447431		0.447466		0.447412		0.241192		0.230249		0.252521		0.568461
254634		0.448636		0.448926		0.448376		0.0741029		0.0623673		0.0875076		0.187909
254635		0.446171		0.446219		0.446137		0.2402		0.22858		0.252154		0.568461
254636		0.446385		0.44643		0.446343		0.317494		0.309397		0.325724		0.733919
254637		0.446295		0.446339		0.446346		0.212179		0.198477		0.226504		0.506781
254638		0.451443		0.451365		0.451165		0.000128701		5.60799e-05		0.000288396		0.000411
254639		0.446607		0.446681		0.446612		0.0979447		0.0855506		0.111632		0.246410
254641		0.446311		0.446355		0.446302		0.275362		0.265133		0.285813		0.644304
254643		0.446462		0.446498		0.445862		0.429383		0.428327		0.429926		0.965431
254644		0.44721		0.44708		0.447493		0.0446112		0.0359735		0.0549228		0.117161
254645		0.447386		0.447759		0.447366		0.233721		0.222028		0.246114		0.552259
254646		0.448194		0.448216		0.448073		0.137593		0.12415		0.152001		0.336566
254647		0.451089		0.451929		0.450632		0.011717		0.0082863		0.0164849		0.032083
254648		0.446825		0.446931		0.446715		0.200359		0.187655		0.213573		0.479783
254649		0.447671		0.448213		0.44745		0.0132651		0.00892086		0.019355		0.036905
254650		0.446215		0.446206		0.446194		0.288632		0.279038		0.29837		0.672911
254651		0.449522		0.449813		0.449434		0.00629748		0.00410279		0.00951048		0.017877
254652		0.449404		0.449701		0.449302		0.00726426		0.00479954		0.0108293		0.020517
254653		0.446597		0.446638		0.44656		0.373808		0.369094		0.378548		0.851253
254654		0.448329		0.448547		0.448223		0.107208		0.0944423		0.121269		0.266297
254655		0.44877		0.44885		0.448716		0.0431776		0.0349434		0.0530168		0.112699
254656		0.446898		0.447016		0.446804		0.114095		0.100689		0.12872		0.283930
254657		0.449686		0.449902		0.449285		0.0139428		0.00995974		0.0192826		0.038225
254658		0.447192		0.447366		0.447136		0.0226942		0.0168284		0.0302298		0.061723
254659		0.446283		0.446244		0.446214		0.224037		0.212311		0.235989		0.532910
254660		0.446332		0.446341		0.446324		0.385215		0.381059		0.389387		0.875342
254661		0.446496		0.44647		0.446465		0.428224		0.426889		0.429498		0.963007
254662		0.446333		0.446207		0.446285		0.294266		0.285335		0.303182		0.684719
254663		0.447814		0.447916		0.447781		0.156563		0.143337		0.17062		0.380216
254665		0.446376		0.44641		0.446328		0.228959		0.215621		0.242782		0.543546
254666		0.447573		0.447573		0.447538		0.190232		0.177384		0.203618		0.456122
254667		0.446484		0.446487		0.446441		0.198888		0.186507		0.211708		0.477053
254669		0.446268		0.446294		0.446236		0.259026		0.24813		0.270205		0.609173
254670		0.446362		0.446402		0.446328		0.315185		0.306563		0.323968		0.729081
254671		0.448023		0.448111		0.447964		0.222349		0.210467		0.234713		0.526324
254672		0.446315		0.446325		0.446305		0.302479		0.292728		0.312378		0.702235
254673		0.447537		0.447707		0.44751		0.187606		0.174982		0.200937		0.450330
254674		0.446056		0.446063		0.446378		0.361995		0.356873		0.367419		0.827820
254675		0.445205		0.445106		0.445304		0.395107		0.391691		0.398532		0.897953
254676		0.449064		0.449288		0.448853		0.440582		0.440145		0.441031		0.982872
254677		0.445588		0.445529		0.44565		0.406894		0.404259		0.409536		0.921357
254678		0.446325		0.446334		0.446317		0.385783		0.381546		0.390035		0.876526
254679		0.446476		0.446513		0.445877		0.430009		0.428863		0.430641		0.966673
254680		0.446402		0.44642		0.446386		0.375151		0.370622		0.379701		0.854419
254681		0.446075		0.446084		0.446066		0.3125		0.30426		0.32084		0.723946
254682		0.446083		0.446094		0.446073		0.326198		0.31875		0.33372		0.752859
254683		0.446064		0.446073		0.446363		0.361227		0.355906		0.366834		0.826206
254684		0.446103		0.446115		0.446092		0.308732		0.299981		0.31759		0.715906
254685		0.446138		0.446163		0.446102		0.314696		0.306308		0.323171		0.728472
254686		0.446048		0.446047		0.446048		0.329626		0.322449		0.336863		0.760142
254687		0.446093		0.446101		0.446085		0.312547		0.304149		0.321038		0.724009
254688		0.446115		0.446146		0.446092		0.281086		0.271076		0.291286		0.656944
254690		0.446038		0.446053		0.446074		0.287363		0.277412		0.297491		0.670525
254691		0.446057		0.44606		0.446055		0.334157		0.327197		0.341173		0.769649
254693		0.446094		0.446084		0.446087		0.286283		0.276853		0.29589		0.668113
254694		0.446109		0.446086		0.446087		0.339023		0.332244		0.345811		0.779760
254695		0.446095		0.446117		0.446078		0.34784		0.341437		0.354291		0.798241
254696		0.446563		0.446594		0.446533		0.388449		0.384728		0.392187		0.881544
254697		0.446059		0.446058		0.44608		0.347514		0.34126		0.353826		0.797631
254698		0.446054		0.446057		0.446052		0.33699		0.330159		0.343876		0.775601
254699		0.446089		0.446101		0.446114		0.332149		0.325284		0.339106		0.765368
254700		0.446422		0.446061		0.446401		0.368473		0.363163		0.37349		0.840548
254701		0.446254		0.446107		0.446198		0.301117		0.292223		0.309946		0.699453
254702		0.446043		0.446041		0.446044		0.323339		0.31599		0.330757		0.746911
254703		0.446163		0.446186		0.446143		0.286785		0.277321		0.296401		0.669058
254704		0.446058		0.44606		0.446056		0.326454		0.318845		0.334139		0.753447
254705		0.446069		0.44605		0.44606		0.356647		0.351138		0.362157		0.816665
254706		0.446107		0.446121		0.446094		0.31478		0.306801		0.322848		0.728708
