Dataset 	CL_b 		CL_b_up 		CL_b_do 		CL_s+b 		CL_s+b_up 		CL_s+b_do 	 \\ 
254609		0.139152		0.139233		0.139072		0.138782		0.138841		0.138723
254610		0.230046		0.243074		0.218989		0.100148		0.103735		0.0975914
254612		0.167321		0.169277		0.165409		0.0675801		0.0653883		0.0699685
254619		0.156493		0.157332		0.155639		0.0773574		0.0749757		0.0798383
254622		0.157059		0.157923		0.156162		0.0727156		0.0702849		0.0752542
254628		0.260302		0.265137		0.255234		0.188853		0.189976		0.187599
254630		0.15546		0.156275		0.154661		0.0766115		0.0741242		0.0792211
254644		0.187403		0.190056		0.184734		0.104565		0.103078		0.106121
254645		0.159819		0.160886		0.158736		0.0658033		0.0631601		0.0686067
254662		0.19283		0.195683		0.190152		0.027894		0.0258544		0.0302811
254667		0.152801		0.153507		0.152082		0.0844103		0.0820827		0.0868172
254674		0.156213		0.157095		0.155336		0.0741942		0.0716573		0.0768593
254735		0.175461		0.177603		0.173234		0.0649914		0.0616471		0.0685897
254754		0.153411		0.154146		0.152661		0.0809666		0.0785285		0.083497
254944		0.155297		0.156156		0.15442		0.077465		0.0748365		0.0802117
254947		0.139353		0.139476		0.139229		0.130889		0.130394		0.131386
254984		0.149035		0.148148		0.150348		0.149035		0.148148		0.150347
