Dataset 	CL_b 		CL_b_up 		CL_b_do 		CL_s+b 		CL_s+b_up 		CL_s+b_do 		CL_exp\\ 
254600		0.446876		0.446896		0.446953		0.436852		0.436156		0.437639		0.979738
254601		0.447274		0.447283		0.447271		0.308131		0.299841		0.316523		0.712423
254602		0.447254		0.447255		0.447247		0.313437		0.304935		0.322035		0.723692
254603		0.451137		0.446794		0.448391		0.421297		0.415931		0.420552		0.939588
254604		0.44731		0.447307		0.447331		0.143838		0.13034		0.158245		0.351971
254605		0.448082		0.448207		0.448007		0.239395		0.227803		0.251366		0.563438
254606		0.447655		0.447655		0.447651		0.0812957		0.0694066		0.0946212		0.205936
254607		0.44734		0.447462		0.447362		0.245763		0.234389		0.257522		0.578553
254608		0.447512		0.447554		0.447592		0.184675		0.171		0.199143		0.443829
254609		0.447801		0.447862		0.447687		0.0648448		0.0538537		0.0775228		0.166325
254610		0.447391		0.447462		0.447616		0.190093		0.177094		0.20382		0.456093
254611		0.447731		0.447756		0.447652		0.0654329		0.0544373		0.0780925		0.167802
254612		0.447415		0.447486		0.447388		0.282334		0.272275		0.292639		0.657241
254613		0.447416		0.44742		0.447379		0.240619		0.228368		0.253221		0.567240
254614		0.447544		0.447542		0.44751		0.234073		0.222197		0.246265		0.552760
254615		0.447962		0.44797		0.447908		0.028658		0.0217106		0.0373916		0.076714
254617		0.447491		0.447542		0.447584		0.193533		0.179972		0.207808		0.463591
254618		0.447493		0.447553		0.447527		0.179586		0.166775		0.193031		0.432484
254619		0.4476		0.447634		0.447547		0.244983		0.23248		0.257831		0.576411
254620		0.447554		0.447521		0.4477		0.197454		0.18464		0.210881		0.472199
254621		0.447321		0.447336		0.447332		0.20224		0.19016		0.21479		0.483169
254622		0.447411		0.447445		0.447376		0.120962		0.108248		0.134714		0.299275
254623		0.44687		0.446869		0.446876		0.359863		0.354372		0.365388		0.821783
254625		0.447459		0.447448		0.447415		0.24692		0.234883		0.259296		0.580859
