Dataset 	CL_b 		CL_b_up 		CL_b_do 		CL_s+b 		CL_s+b_up 		CL_s+b_do 	 \\ 
254601		0.53541		0.537465		0.533361		0.5		0.5		0.5
254602		0.557056		0.557094		0.557017		0.494356		0.490637		0.498083
254603		0.548803		0.54845		0.549158		0.0464647		0.0374268		0.0576194
254604		0.556891		0.556928		0.554284		0.499137		0.495684		0.5
254605		0.54936		0.549166		0.549698		0.101845		0.0892386		0.116194
254606		0.556469		0.556448		0.556494		0.419823		0.410256		0.429492
254607		0.545277		0.544698		0.545838		0.00479905		0.0034484		0.0067203
254608		0.551645		0.55149		0.551805		0.187375		0.171719		0.204196
254611		0.551076		0.550695		0.551131		0.311091		0.298988		0.323444
254612		0.54404		0.543466		0.544678		0.00607166		0.00447519		0.0083145
254613		0.551819		0.551476		0.552205		0.0779783		0.0651679		0.0930733
254615		0.554473		0.554237		0.554698		0.461877		0.45503		0.468828
254617		0.553556		0.553517		0.553365		0.28803		0.273573		0.302801
254618		0.553193		0.5534		0.553307		0.310238		0.296333		0.324869
254619		0.550221		0.549631		0.550814		0.444517		0.437299		0.452056
254620		0.555627		0.555554		0.555695		0.479442		0.475059		0.483848
254621		0.552511		0.552284		0.552739		0.11691		0.103846		0.131433
254623		0.547714		0.547612		0.548076		0.0204317		0.0160359		0.0260443
254625		0.547463		0.547054		0.547736		0.101486		0.0884875		0.116308
254627		0.553583		0.553358		0.553856		0.272409		0.257403		0.288166
254628		0.550532		0.550376		0.550685		0.173303		0.159894		0.187674
254629		0.555798		0.555773		0.555827		0.457395		0.449737		0.465105
254630		0.554284		0.554206		0.554362		0.365316		0.353674		0.377176
254631		0.500044		0.500047		0.500042		0.5		0.5		0.5
254632		0.539989		0.543294		0.536675		0.5		0.5		0.5
254633		0.54828		0.552038		0.544509		0.5		0.5		0.5
254634		0.554485		0.554389		0.554582		0.308741		0.294728		0.323176
254635		0.552872		0.552621		0.553125		0.104851		0.0903454		0.121365
254637		0.5486		0.548151		0.549061		0.0866195		0.0750148		0.0999646
254638		0.55405		0.553972		0.554129		0.359837		0.347934		0.371971
254639		0.557173		0.557206		0.554825		0.499004		0.495675		0.5
254641		0.556671		0.556218		0.556611		0.473409		0.467271		0.479054
254643		0.552074		0.551826		0.552323		0.257433		0.241043		0.274789
254645		0.553045		0.552777		0.553118		0.274447		0.260219		0.289036
254646		0.55138		0.550931		0.551302		0.295187		0.281088		0.309396
254647		0.555888		0.555867		0.555911		0.460374		0.454465		0.466313
254648		0.555599		0.555577		0.555622		0.451508		0.445048		0.458008
254649		0.556527		0.555956		0.556553		0.472329		0.46665		0.477531
254650		0.545532		0.545082		0.545988		0.00511344		0.00363324		0.00723847
254651		0.550689		0.554018		0.547352		0.5		0.5		0.5
254652		0.556764		0.556813		0.556715		0.479125		0.474401		0.483864
254653		0.556528		0.556502		0.556556		0.449556		0.441954		0.457209
254654		0.549671		0.54938		0.54997		0.0468176		0.0387382		0.0565355
