Dataset 	CL_b 		CL_b_up 		CL_b_do 		CL_s+b 		CL_s+b_up 		CL_s+b_do 		CL_exp\\ 
254601		0.219878		0.2201		0.219726		0.133208		0.128181		0.138411		0.734801
254602		0.221555		0.221828		0.221286		0.184703		0.182616		0.18681		0.896062
254603		0.230058		0.230895		0.229127		0.03005		0.0255256		0.0352503		0.253702
254604		0.227635		0.228505		0.226807		0.190187		0.188528		0.191894		0.896130
254605		0.244699		0.245754		0.243583		0.0113157		0.00889936		0.0143237		0.112211
254606		0.220284		0.2205		0.220086		0.139337		0.134659		0.14415		0.754990
254607		0.223408		0.22386		0.222939		0.0564199		0.0506669		0.0626915		0.409472
254608		0.233459		0.234151		0.232915		0.0242885		0.0200525		0.0293201		0.213211
254609		0.223427		0.223979		0.222972		0.112502		0.107405		0.11785		0.650794
254610		0.220522		0.220714		0.220305		0.101803		0.0963077		0.107518		0.616432
254611		0.224036		0.224644		0.223564		0.0882942		0.0824792		0.0944768		0.553380
254612		0.237995		0.23891		0.237106		0.0468808		0.0412518		0.0532048		0.335491
254613		0.220784		0.221057		0.220528		0.10069		0.0947359		0.106919		0.611398
254614		0.220033		0.220186		0.219999		0.117154		0.11228		0.122235		0.676493
254615		0.219023		0.219104		0.218948		0.156382		0.152807		0.160017		0.815032
254617		0.227725		0.228486		0.227013		0.0420994		0.0371925		0.0475872		0.326856
254618		0.223409		0.223842		0.222998		0.136668		0.132429		0.141028		0.737867
254619		0.223898		0.224462		0.223313		0.0760346		0.069776		0.082732		0.500842
254620		0.220333		0.220549		0.220144		0.110691		0.104895		0.116725		0.651416
254621		0.220784		0.221024		0.22054		0.113751		0.108106		0.119601		0.661915
254622		0.219951		0.220085		0.219805		0.115186		0.110189		0.120338		0.669347
254623		0.245476		0.247334		0.244194		0.0572469		0.0519548		0.0632032		0.373725
254625		0.223951		0.224418		0.223477		0.047936		0.0426759		0.0537304		0.364783
254626		0.218845		0.218913		0.21878		0.165959		0.16241		0.16956		0.846053
254627		0.22128		0.221894		0.221027		0.0811948		0.0749976		0.0879282		0.529217
254628		0.220747		0.220919		0.220526		0.138808		0.134397		0.143292		0.751988
254629		0.228539		0.229471		0.227625		0.129945		0.125		0.135082		0.701732
254630		0.226629		0.227353		0.225939		0.0629011		0.0574885		0.0687613		0.434877
254631		0.219974		0.220145		0.219911		0.120972		0.115566		0.126612		0.690735
254632		0.219044		0.219115		0.218974		0.185946		0.18376		0.188149		0.906457
254633		0.229082		0.229267		0.228884		0.102496		0.0966318		0.10862		0.599176
254634		0.221299		0.221641		0.221036		0.0831391		0.0769536		0.0897154		0.537599
254635		0.222537		0.222883		0.222137		0.0939391		0.0879558		0.100216		0.580108
254636		0.218358		0.218385		0.218333		0.194047		0.192298		0.195807		0.932002
254637		0.222188		0.222606		0.22181		0.0666032		0.0606627		0.0729987		0.461273
254638		0.224732		0.225316		0.224127		0.0806714		0.0750926		0.0865893		0.519406
254639		0.219544		0.219662		0.219426		0.163267		0.160032		0.166543		0.835709
254641		0.219935		0.220104		0.219768		0.177535		0.174733		0.180374		0.878883
254643		0.220073		0.220241		0.219984		0.113871		0.108054		0.119946		0.664106
254644		0.220432		0.220634		0.220253		0.114794		0.109632		0.12014		0.666697
254645		0.235393		0.236044		0.234814		0.0277244		0.0233315		0.0328647		0.232423
254646		0.221383		0.221713		0.221067		0.0943534		0.088116		0.100921		0.584458
254647		0.229139		0.229648		0.228149		0.110992		0.105961		0.116055		0.631521
254648		0.230886		0.230873		0.230095		0.214607		0.213586		0.215049		0.956454
254649		0.21963		0.219746		0.219495		0.143534		0.139098		0.148059		0.770949
254650		0.236677		0.237369		0.235798		0.0252465		0.0207142		0.0306186		0.215445
254651		0.226327		0.226956		0.225697		0.137078		0.132744		0.141543		0.731941
254652		0.22484		0.225399		0.224335		0.0847168		0.0790522		0.0907054		0.536525
254653		0.219409		0.219523		0.219297		0.168262		0.164912		0.17166		0.851767
254654		0.225945		0.226634		0.225234		0.028138		0.0236184		0.033379		0.247425
254655		0.224943		0.225404		0.224483		0.135856		0.131882		0.139929		0.731203
254656		0.220315		0.220526		0.22014		0.106623		0.101024		0.112456		0.635813
254657		0.221025		0.221291		0.220746		0.145307		0.140756		0.149956		0.773316
254658		0.219453		0.219567		0.219343		0.177673		0.175202		0.180168		0.880583
254659		0.220705		0.220881		0.220531		0.198571		0.197468		0.19968		0.938686
254660		0.220144		0.220325		0.219955		0.111994		0.10601		0.118211		0.656835
254661		0.226332		0.227076		0.225542		0.0399532		0.0340911		0.0466491		0.317190
254662		0.230657		0.23195		0.229619		0.049509		0.044529		0.0550887		0.361270
254663		0.237105		0.238006		0.236368		0.0156841		0.0122882		0.0199221		0.150797
254665		0.242521		0.243891		0.241339		0.00586696		0.00414982		0.00822833		0.068481
254666		0.241774		0.242678		0.24085		0.00197843		0.00128047		0.00302408		0.029185
254667		0.227168		0.228063		0.226426		0.0534912		0.04816		0.0593615		0.387753
254669		0.226883		0.227917		0.226098		0.0302115		0.0254453		0.0357925		0.259090
254670		0.241089		0.242141		0.24002		0.0320271		0.0273751		0.0374057		0.250556
254671		0.243881		0.244904		0.242857		0.00571425		0.0041914		0.00774095		0.066440
254672		0.237519		0.238439		0.236706		0.013733		0.0107197		0.0175069		0.136087
254673		0.227228		0.22803		0.226435		0.0809713		0.0749712		0.0874041		0.515331
254674		0.228347		0.229255		0.227488		0.0590415		0.0532012		0.0654544		0.413033
254675		0.218265		0.218256		0.218269		0.208735		0.208048		0.20942		0.973873
254676		0.222668		0.222198		0.223074		0.221511		0.220933		0.222026		0.996899
254677		0.218441		0.218438		0.218446		0.215802		0.215626		0.21598		0.992835
254678		0.218275		0.218278		0.218276		0.202237		0.201217		0.203264		0.955641
254679		0.219037		0.219089		0.218987		0.216063		0.215903		0.216224		0.991933
