Dataset 	CL_b 		CL_b_up 		CL_b_do 		CL_s+b 		CL_s+b_up 		CL_s+b_do 	 \\ 
254603		0.746881		0.745653		0.748124		0.101105		0.0831659		0.122286
254605		0.725023		0.72317		0.727091		0.00868163		0.0058836		0.0128231
254607		0.750946		0.749784		0.752135		0.217751		0.192955		0.245099
254608		0.726722		0.724504		0.729077		0.0234475		0.0167328		0.0328109
254609		0.578602		0.582803		0.574278		0.5		0.5		0.5
254610		0.561054		0.564413		0.557662		0.5		0.5		0.5
254611		0.719042		0.728903		0.708762		0.5		0.5		0.5
254612		0.72386		0.721712		0.726069		0.00134295		0.000777233		0.00232778
254614		0.556612		0.559879		0.553294		0.5		0.5		0.5
254615		0.747793		0.745972		0.749571		0.36846		0.345738		0.392398
254617		0.737439		0.735152		0.739798		0.24648		0.22381		0.271153
254618		0.59834		0.605234		0.591399		0.5		0.5		0.5
254620		0.55435		0.558736		0.549953		0.5		0.5		0.5
254622		0.539032		0.542069		0.53598		0.5		0.5		0.5
254623		0.755393		0.754808		0.755976		0.242746		0.216828		0.270746
254625		0.752922		0.751971		0.753875		0.162442		0.138567		0.189433
254628		0.679095		0.688221		0.669753		0.5		0.5		0.5
254629		0.753317		0.752725		0.754343		0.353085		0.331219		0.376359
254630		0.745027		0.743182		0.747906		0.451464		0.432105		0.472814
254631		0.632495		0.640383		0.624415		0.5		0.5		0.5
254634		0.75426		0.752503		0.755868		0.271718		0.245347		0.300081
254636		0.548822		0.552262		0.545373		0.5		0.5		0.5
254637		0.765702		0.764836		0.761348		0.486029		0.465504		0.5
254638		0.551734		0.555349		0.548112		0.5		0.5		0.5
254643		0.75976		0.76206		0.745049		0.5		0.484628		0.5
254644		0.588826		0.59478		0.58284		0.5		0.5		0.5
254645		0.745628		0.744353		0.746888		0.0510293		0.0390377		0.0662713
254646		0.730602		0.728748		0.732492		0.0111581		0.00783421		0.0159311
254647		0.756532		0.755146		0.756935		0.477847		0.457785		0.49694
254650		0.748809		0.7471		0.750555		0.368388		0.343771		0.394082
254652		0.612417		0.618066		0.606602		0.5		0.5		0.5
254654		0.738696		0.736521		0.740577		0.096922		0.0822598		0.114178
254655		0.737199		0.735138		0.739296		0.261135		0.23937		0.284627
254656		0.543747		0.546329		0.541163		0.5		0.5		0.5
254657		0.65836		0.669464		0.647077		0.5		0.5		0.5
254660		0.71645		0.713776		0.71941		0.0568845		0.0455893		0.0711292
254661		0.748728		0.747153		0.750375		0.210402		0.186266		0.237109
254662		0.589744		0.595514		0.583867		0.5		0.5		0.5
254663		0.743123		0.741671		0.744609		0.0453798		0.0344551		0.0595449
254665		0.721665		0.733713		0.709203		0.5		0.5		0.5
254666		0.738779		0.737383		0.740306		0.0129678		0.00897054		0.0186832
254667		0.759989		0.759489		0.760263		0.301266		0.27634		0.327252
254669		0.700341		0.71187		0.688466		0.5		0.5		0.5
254670		0.733626		0.732255		0.735193		0.001655		0.000956713		0.00286768
254671		0.747852		0.746823		0.748894		0.0598973		0.0465064		0.0766153
254672		0.743484		0.741765		0.745223		0.241958		0.218677		0.267284
254673		0.745891		0.744783		0.747		0.13358		0.114742		0.155086
254674		0.756565		0.755538		0.757596		0.361026		0.336289		0.386901
254735		0.739383		0.754493		0.723693		0.5		0.5		0.5
254754		0.677262		0.688473		0.665785		0.5		0.5		0.5
254761		0.752436		0.751119		0.75368		0.339409		0.31708		0.362784
254877		0.606992		0.614607		0.599192		0.5		0.5		0.5
254910		0.753951		0.752722		0.755402		0.255848		0.229596		0.284388
254942		0.706639		0.7049		0.708446		0.000817124		0.000504997		0.00134131
254943		0.759988		0.758769		0.761296		0.367424		0.340009		0.396129
254944		0.757057		0.756044		0.758067		0.226962		0.1998		0.256639
254980		0.547156		0.550197		0.544114		0.5		0.5		0.5
254982		0.501862		0.501996		0.501728		0.5		0.5		0.5
254983		0.50209		0.502221		0.50196		0.5		0.5		0.5
254984		0.506712		0.507183		0.506241		0.5		0.5		0.5
254995		0.50547		0.505833		0.505107		0.5		0.5		0.5
254997		0.528243		0.530112		0.526373		0.5		0.5		0.5
254998		0.504813		0.505126		0.504496		0.5		0.5		0.5
255000		0.501809		0.501921		0.501697		0.5		0.5		0.5
