Dataset 	CL_b 		CL_b_up 		CL_b_do 		CL_s+b 		CL_s+b_up 		CL_s+b_do 	 \\ 
254603		0.27571		0.276095		0.275332		0.169947		0.163093		0.177051
254604		0.313118		0.314392		0.311529		0.0516179		0.0466719		0.0571554
254605		0.284509		0.285161		0.283855		0.0916906		0.0857149		0.098072
254607		0.281924		0.282668		0.281176		0.0841666		0.0775127		0.0913605
254608		0.32737		0.330078		0.32453		0.238047		0.23631		0.239842
254609		0.316434		0.317967		0.314836		0.00124039		0.000966227		0.0016076
254610		0.316737		0.318701		0.314997		0.0142884		0.0122406		0.0167929
254611		0.319884		0.32122		0.3184		0.0797152		0.0749533		0.0848976
254612		0.301904		0.303241		0.300665		0.0720791		0.0664304		0.0783428
254614		0.304872		0.306571		0.302998		0.0172601		0.0145087		0.0206342
254615		0.31065		0.312583		0.30865		0.00182119		0.0013554		0.00247186
254617		0.293714		0.294952		0.292566		0.0672196		0.0612909		0.073803
254618		0.302801		0.304417		0.30106		0.0196532		0.0166278		0.0233049
254619		0.32155		0.323349		0.319305		0.0215278		0.0186485		0.0249494
254620		0.31043		0.312159		0.308631		0.0105689		0.00874004		0.0128348
254622		0.312227		0.313658		0.310617		0.00152652		0.00114448		0.00205068
254623		0.318945		0.321387		0.316371		0.148958		0.143699		0.154554
254625		0.294735		0.296052		0.293407		0.0846417		0.0786512		0.0911574
254626		0.308031		0.310023		0.306028		0.00579764		0.00464133		0.00729818
254628		0.301814		0.302943		0.300516		0.0282724		0.0248448		0.0322405
254629		0.312844		0.314726		0.311085		0.00383815		0.00300963		0.00493643
254630		0.318945		0.320842		0.316898		0.0199966		0.0173918		0.0230609
254631		0.301909		0.303319		0.300453		0.0103008		0.008474		0.0125724
254633		0.298822		0.299896		0.297566		0.0267912		0.0233563		0.0307964
254634		0.297198		0.298399		0.295822		0.0236255		0.0203636		0.0274363
254636		0.309955		0.311766		0.308106		0.00407418		0.00315946		0.00528173
254637		0.303828		0.30617		0.301806		0.131756		0.125827		0.138214
254638		0.303931		0.305263		0.302432		0.00576121		0.00461202		0.00723193
254641		0.293529		0.294693		0.292321		0.0401072		0.0353781		0.0455303
254643		0.270468		0.270734		0.270202		0.199166		0.193959		0.204484
254644		0.295136		0.296616		0.293611		0.0193999		0.0160081		0.0235381
254645		0.275666		0.276154		0.275179		0.135737		0.129325		0.14243
254646		0.282734		0.283294		0.28214		0.109151		0.103		0.115642
254647		0.314221		0.316151		0.312356		0.00617707		0.0049503		0.00776002
254648		0.306175		0.307824		0.304418		0.00220467		0.00164575		0.00296958
254650		0.299937		0.301443		0.298379		0.103361		0.0977595		0.109384
254651		0.327628		0.330236		0.324982		0.000244368		0.000175503		0.000346931
254652		0.288051		0.28898		0.287115		0.0601393		0.0544409		0.066441
254654		0.292169		0.293283		0.291038		0.0364435		0.0320587		0.0414547
254655		0.302147		0.303688		0.300561		0.0115262		0.00952601		0.0139982
254656		0.302395		0.303872		0.300937		0.00975955		0.00793237		0.012047
254657		0.304527		0.306008		0.303007		0.00936847		0.00776284		0.0113583
254661		0.277417		0.277799		0.276987		0.163291		0.15587		0.171004
254662		0.284519		0.285314		0.283963		0.0738713		0.0676607		0.0806808
254663		0.294456		0.295637		0.293259		0.0593193		0.0532638		0.0661296
254665		0.295819		0.297166		0.294427		0.0415691		0.0363188		0.0476444
254666		0.289264		0.290225		0.288443		0.054558		0.0490822		0.0606808
254667		0.288721		0.289475		0.287962		0.0982388		0.0922198		0.104665
254669		0.288335		0.289266		0.287232		0.0583781		0.051929		0.0656156
254670		0.331252		0.33331		0.329039		0.252517		0.250885		0.254158
254671		0.3056		0.30726		0.303941		0.0260401		0.0225433		0.0301758
254672		0.28922		0.290287		0.288278		0.051926		0.0460965		0.0585277
254673		0.291238		0.292238		0.29023		0.0621701		0.0562371		0.0687672
