Dataset 	CL_b 		CL_b_up 		CL_b_do 		CL_s+b 		CL_s+b_up 		CL_s+b_do 		CL_exp\\ 
254601		0.542497		0.5456		0.539389		0.5		0.5		0.5		0.915006
254602		0.519327		0.520457		0.518198		0.5		0.5		0.5		0.961347
254603		0.892995		0.905443		0.87906		0.5		0.5		0.5		0.214010
254604		0.549222		0.552206		0.546219		0.5		0.5		0.5		0.901556
254605		0.862137		0.876211		0.846744		0.5		0.5		0.5		0.275726
254606		0.535453		0.537801		0.533106		0.5		0.5		0.5		0.929095
254607		0.77597		0.790306		0.76101		0.5		0.5		0.5		0.448060
254608		0.952051		0.951234		0.95306		0.402883		0.359464		0.449406		0.056009
254611		0.574789		0.579149		0.570415		0.5		0.5		0.5		0.850422
254612		0.898868		0.910295		0.886014		0.5		0.5		0.5		0.202265
254613		0.92149		0.934345		0.906613		0.5		0.5		0.5		0.157020
254614		0.544037		0.54654		0.541531		0.5		0.5		0.5		0.911926
254617		0.766054		0.779012		0.752542		0.5		0.5		0.5		0.467892
254618		0.549177		0.552402		0.545947		0.5		0.5		0.5		0.901646
254619		0.683486		0.696726		0.669971		0.5		0.5		0.5		0.633028
254620		0.542682		0.54517		0.54019		0.5		0.5		0.5		0.914636
254621		0.802938		0.816593		0.788579		0.5		0.5		0.5		0.394124
254623		0.953053		0.952298		0.954027		0.379403		0.335831		0.426483		0.047451
254625		0.832932		0.84696		0.817842		0.5		0.5		0.5		0.334136
254626		0.503667		0.504018		0.503436		0.5		0.5		0.5		0.992667
254627		0.671387		0.68292		0.659656		0.5		0.5		0.5		0.657225
254629		0.551418		0.554445		0.548386		0.5		0.5		0.5		0.897164
254630		0.609374		0.616916		0.602029		0.5		0.5		0.5		0.781253
254631		0.514896		0.515923		0.513895		0.5		0.5		0.5		0.970209
254632		0.525156		0.527085		0.523225		0.5		0.5		0.5		0.949689
254634		0.660958		0.670173		0.651623		0.5		0.5		0.5		0.678085
254635		0.676778		0.68703		0.666365		0.5		0.5		0.5		0.646443
254637		0.91985		0.932059		0.90564		0.5		0.5		0.5		0.160299
254643		0.947648		0.94609		0.949187		0.0324073		0.0209406		0.0494547		0.000522
254645		0.549651		0.552836		0.546443		0.5		0.5		0.5		0.900699
254646		0.623144		0.629657		0.61644		0.5		0.5		0.5		0.753713
254647		0.553611		0.557027		0.550164		0.5		0.5		0.5		0.892777
254650		0.943461		0.941935		0.944997		0.238977		0.200034		0.283244		0.021784
254651		0.581697		0.587906		0.575736		0.5		0.5		0.5		0.836606
254653		0.771542		0.785846		0.756636		0.5		0.5		0.5		0.456916
254654		0.822562		0.836425		0.807539		0.5		0.5		0.5		0.354877
254655		0.697187		0.708611		0.685529		0.5		0.5		0.5		0.605627
254656		0.546176		0.549893		0.542466		0.5		0.5		0.5		0.907648
254657		0.553323		0.55756		0.549077		0.5		0.5		0.5		0.893353
254660		0.859415		0.874643		0.842788		0.5		0.5		0.5		0.281171
254661		0.954565		0.953718		0.955393		0.347507		0.302157		0.396108		0.037261
254662		0.939112		0.9373		0.940964		0.000376107		0.000156882		0.000892535		0.000001
254663		0.940993		0.939023		0.943041		0.0683273		0.0477726		0.0965393		0.002277
254665		0.930697		0.928563		0.93306		1.50034e-06		4.02932e-07		5.68392e-06		0.000001
254666		0.952795		0.951894		0.953578		0.356568		0.310971		0.405238		0.041327
254667		0.950558		0.949521		0.951602		0.141157		0.109836		0.179291		0.006422
254669		0.954514		0.953663		0.955431		0.447382		0.40052		0.496363		0.068368
254670		0.945876		0.944479		0.947331		0.155003		0.120711		0.1968		0.008759
254671		0.940326		0.93848		0.942294		0.16391		0.129434		0.20553		0.011212
254672		0.9368		0.934904		0.938738		0.00570742		0.00332457		0.00975057		0.000049
254673		0.86353		0.877135		0.848455		0.5		0.5		0.5		0.272940
254674		0.954384		0.953639		0.95513		0.189394		0.153212		0.231659		0.010197
254675		0.546499		0.549397		0.543597		0.5		0.5		0.5		0.907002
254677		0.504754		0.505058		0.50444		0.5		0.5		0.5		0.990493
254678		0.552362		0.555667		0.54911		0.5		0.5		0.5		0.895276
254680		0.505924		0.50633		0.505522		0.5		0.5		0.5		0.988152
254681		0.506744		0.507138		0.506383		0.5		0.5		0.5		0.986511
254682		0.520773		0.522359		0.519186		0.5		0.5		0.5		0.958454
254683		0.524661		0.526156		0.523165		0.5		0.5		0.5		0.950678
254684		0.708675		0.721725		0.69528		0.5		0.5		0.5		0.582649
254686		0.507333		0.507812		0.506855		0.5		0.5		0.5		0.985333
254687		0.518434		0.51967		0.517198		0.5		0.5		0.5		0.963132
254688		0.503395		0.503596		0.503195		0.5		0.5		0.5		0.993209
254691		0.534533		0.536628		0.532435		0.5		0.5		0.5		0.930935
254693		0.50337		0.50359		0.503235		0.5		0.5		0.5		0.993260
254694		0.510007		0.510652		0.509359		0.5		0.5		0.5		0.979987
254695		0.511901		0.512638		0.511164		0.5		0.5		0.5		0.976197
254696		0.62508		0.633046		0.617025		0.5		0.5		0.5		0.749840
254697		0.513965		0.5149		0.513029		0.5		0.5		0.5		0.972070
254698		0.508623		0.509226		0.508021		0.5		0.5		0.5		0.982753
254699		0.507264		0.507761		0.506853		0.5		0.5		0.5		0.985473
254700		0.508608		0.508867		0.508239		0.5		0.5		0.5		0.982784
254701		0.547075		0.549914		0.544231		0.5		0.5		0.5		0.905851
254702		0.524986		0.526574		0.523398		0.5		0.5		0.5		0.950027
254703		0.524742		0.526334		0.52315		0.5		0.5		0.5		0.950515
254704		0.513316		0.514186		0.512446		0.5		0.5		0.5		0.973368
254705		0.505876		0.506231		0.505523		0.5		0.5		0.5		0.988248
254706		0.502625		0.50279		0.502464		0.5		0.5		0.5		0.994751
254707		0.525331		0.526877		0.523784		0.5		0.5		0.5		0.949338
254708		0.596504		0.602336		0.59065		0.5		0.5		0.5		0.806993
254709		0.506177		0.506539		0.505758		0.5		0.5		0.5		0.987645
254710		0.528768		0.531003		0.526532		0.5		0.5		0.5		0.942463
254711		0.509646		0.510313		0.508979		0.5		0.5		0.5		0.980709
254712		0.515444		0.51641		0.514477		0.5		0.5		0.5		0.969113
254714		0.515039		0.516071		0.514007		0.5		0.5		0.5		0.969922
254715		0.512259		0.512803		0.511677		0.5		0.5		0.5		0.975482
254716		0.549261		0.552191		0.546343		0.5		0.5		0.5		0.901477
254717		0.505296		0.505631		0.505018		0.5		0.5		0.5		0.989409
254718		0.519846		0.521104		0.518587		0.5		0.5		0.5		0.960308
254719		0.510965		0.511624		0.510307		0.5		0.5		0.5		0.978069
254720		0.514497		0.515391		0.513602		0.5		0.5		0.5		0.971006
254721		0.507028		0.507449		0.506606		0.5		0.5		0.5		0.985944
254723		0.502544		0.502699		0.50238		0.5		0.5		0.5		0.994913
254724		0.505001		0.505295		0.504708		0.5		0.5		0.5		0.989999
254725		0.50472		0.505016		0.50442		0.5		0.5		0.5		0.990560
254726		0.525235		0.526894		0.524539		0.5		0.5		0.5		0.949530
254729		0.503118		0.503354		0.502884		0.5		0.5		0.5		0.993763
254731		0.526476		0.528261		0.524691		0.5		0.5		0.5		0.947047
254733		0.502204		0.502354		0.502311		0.5		0.5		0.5		0.995592
254734		0.50844		0.509006		0.507874		0.5		0.5		0.5		0.983120
254735		0.946022		0.944449		0.94764		0.00376227		0.00185259		0.00749393		0.000019
254736		0.508707		0.509222		0.508191		0.5		0.5		0.5		0.982587
254738		0.507422		0.507854		0.50698		0.5		0.5		0.5		0.985156
254739		0.507924		0.508408		0.50744		0.5		0.5		0.5		0.984151
254740		0.51382		0.514705		0.512935		0.5		0.5		0.5		0.972360
254742		0.507152		0.507598		0.506703		0.5		0.5		0.5		0.985697
254743		0.50805		0.508586		0.507512		0.5		0.5		0.5		0.983901
254744		0.520038		0.521362		0.518714		0.5		0.5		0.5		0.959924
254747		0.505392		0.505748		0.505038		0.5		0.5		0.5		0.989215
254748		0.527136		0.528929		0.525341		0.5		0.5		0.5		0.945728
254752		0.508991		0.509534		0.508448		0.5		0.5		0.5		0.982018
254754		0.946246		0.944618		0.947879		0.1625		0.126659		0.205915		0.009494
254755		0.522729		0.524124		0.521333		0.5		0.5		0.5		0.954542
254756		0.505459		0.505789		0.505129		0.5		0.5		0.5		0.989082
254757		0.527428		0.52909		0.525767		0.5		0.5		0.5		0.945145
254758		0.515472		0.516515		0.514429		0.5		0.5		0.5		0.969056
254759		0.535917		0.538178		0.534906		0.5		0.5		0.5		0.928167
254760		0.527943		0.529725		0.526171		0.5		0.5		0.5		0.944113
254761		0.940627		0.93876		0.942552		0.000489134		0.000193934		0.001214		0.000001
254762		0.524471		0.526023		0.522918		0.5		0.5		0.5		0.951059
254763		0.514697		0.515668		0.513726		0.5		0.5		0.5		0.970606
254764		0.505852		0.50623		0.505474		0.5		0.5		0.5		0.988296
254765		0.521979		0.523437		0.520519		0.5		0.5		0.5		0.956043
254766		0.503274		0.503478		0.50307		0.5		0.5		0.5		0.993453
254767		0.510638		0.511288		0.509987		0.5		0.5		0.5		0.978724
254768		0.504159		0.504495		0.503825		0.5		0.5		0.5		0.991682
254769		0.520516		0.522061		0.51897		0.5		0.5		0.5		0.958968
254771		0.515627		0.516655		0.514599		0.5		0.5		0.5		0.968745
254772		0.517865		0.518961		0.516768		0.5		0.5		0.5		0.964270
254773		0.512368		0.513185		0.511551		0.5		0.5		0.5		0.975263
254774		0.530747		0.532722		0.528769		0.5		0.5		0.5		0.938507
254775		0.530811		0.532707		0.528912		0.5		0.5		0.5		0.938378
254776		0.509408		0.510002		0.508813		0.5		0.5		0.5		0.981185
254778		0.510927		0.511668		0.510187		0.5		0.5		0.5		0.978145
254779		0.505744		0.506202		0.505319		0.5		0.5		0.5		0.988513
254780		0.513222		0.514138		0.512307		0.5		0.5		0.5		0.973555
254781		0.528647		0.530491		0.526802		0.5		0.5		0.5		0.942705
254783		0.502541		0.502714		0.502368		0.5		0.5		0.5		0.994918
254784		0.503895		0.504211		0.503579		0.5		0.5		0.5		0.992211
254785		0.502691		0.502864		0.502524		0.5		0.5		0.5		0.994618
254786		0.518758		0.519879		0.517637		0.5		0.5		0.5		0.962483
254787		0.516214		0.517228		0.5152		0.5		0.5		0.5		0.967572
254788		0.512416		0.513274		0.511558		0.5		0.5		0.5		0.975168
254790		0.51296		0.513804		0.512116		0.5		0.5		0.5		0.974079
254791		0.510675		0.511412		0.509963		0.5		0.5		0.5		0.978650
254792		0.512889		0.513751		0.512025		0.5		0.5		0.5		0.974223
254793		0.502412		0.503244		0.502262		0.5		0.5		0.5		0.995175
254794		0.507512		0.507951		0.507067		0.5		0.5		0.5		0.984976
254796		0.555353		0.559432		0.551233		0.5		0.5		0.5		0.889294
254797		0.561746		0.566247		0.557233		0.5		0.5		0.5		0.876508
254798		0.511579		0.512325		0.510832		0.5		0.5		0.5		0.976843
254800		0.501463		0.501574		0.501352		0.5		0.5		0.5		0.997074
254802		0.5374		0.539695		0.535102		0.5		0.5		0.5		0.925201
254803		0.52359		0.525041		0.522139		0.5		0.5		0.5		0.952819
254804		0.520256		0.521527		0.518984		0.5		0.5		0.5		0.959488
254805		0.509688		0.510265		0.509112		0.5		0.5		0.5		0.980623
254806		0.510592		0.511335		0.509849		0.5		0.5		0.5		0.978816
254808		0.509433		0.510086		0.508778		0.5		0.5		0.5		0.981134
254809		0.620045		0.628146		0.611886		0.5		0.5		0.5		0.759909
254810		0.522444		0.523836		0.521049		0.5		0.5		0.5		0.955112
254811		0.511204		0.511906		0.510503		0.5		0.5		0.5		0.977592
254820		0.946208		0.944555		0.947891		0.0142708		0.00804143		0.0248025		0.000145
254877		0.946357		0.94474		0.948026		0.00124308		0.000517558		0.0029127		0.000004
254910		0.95199		0.95068		0.953349		0.214678		0.175205		0.260849		0.014098
254942		0.8636		0.876021		0.850094		0.5		0.5		0.5		0.272800
254943		0.93068		0.928321		0.933169		1.89789e-05		5.77534e-06		6.21298e-05		0.000001
254944		0.946934		0.945502		0.948376		0.0015852		0.000722277		0.00341399		0.000005
254948		0.523926		0.525564		0.522287		0.5		0.5		0.5		0.952148
254980		0.559365		0.563222		0.555498		0.5		0.5		0.5		0.881270
254983		0.509381		0.510117		0.508645		0.5		0.5		0.5		0.981238
254996		0.506265		0.506659		0.505869		0.5		0.5		0.5		0.987470
254997		0.513323		0.514132		0.512514		0.5		0.5		0.5		0.973353
254998		0.502358		0.502504		0.502213		0.5		0.5		0.5		0.995283
255000		0.501005		0.501073		0.500938		0.5		0.5		0.5		0.997990
Dataset 	CL_b 		CL_b_up 		CL_b_do 		CL_s+b 		CL_s+b_up 		CL_s+b_do 		CL_exp\\ 
254813		0.56928		0.573482		0.565068		0.5		0.5		0.5		0.861439
254814		0.519826		0.521166		0.518486		0.5		0.5		0.5		0.960347
254815		0.52318		0.524667		0.521693		0.5		0.5		0.5		0.953640
254817		0.512452		0.51334		0.511617		0.5		0.5		0.5		0.975096
254818		0.522631		0.524056		0.521158		0.5		0.5		0.5		0.954738
254819		0.558228		0.561831		0.554617		0.5		0.5		0.5		0.883544
254821		0.520491		0.521784		0.519195		0.5		0.5		0.5		0.959019
254822		0.504124		0.504632		0.503724		0.5		0.5		0.5		0.991753
254823		0.508184		0.508774		0.507621		0.5		0.5		0.5		0.983633
254824		0.502348		0.502477		0.502254		0.5		0.5		0.5		0.995305
254825		0.516743		0.517771		0.515714		0.5		0.5		0.5		0.966515
254827		0.513076		0.51392		0.512231		0.5		0.5		0.5		0.973849
254828		0.536151		0.538452		0.533829		0.5		0.5		0.5		0.927698
254829		0.523335		0.524909		0.521759		0.5		0.5		0.5		0.953331
254831		0.503821		0.504066		0.503589		0.5		0.5		0.5		0.992359
254832		0.55414		0.558107		0.55015		0.5		0.5		0.5		0.891719
254833		0.512788		0.513594		0.511981		0.5		0.5		0.5		0.974425
254834		0.5295		0.531319		0.527679		0.5		0.5		0.5		0.940999
254835		0.502737		0.50291		0.50257		0.5		0.5		0.5		0.994527
254836		0.502701		0.502845		0.502172		0.5		0.5		0.5		0.994597
254837		0.511128		0.511809		0.510444		0.5		0.5		0.5		0.977743
254838		0.515139		0.51615		0.514126		0.5		0.5		0.5		0.969723
254839		0.533058		0.53525		0.530825		0.5		0.5		0.5		0.933884
254840		0.608974		0.61606		0.601829		0.5		0.5		0.5		0.782052
254841		0.52983		0.531641		0.528019		0.5		0.5		0.5		0.940339
254842		0.505033		0.505409		0.504658		0.5		0.5		0.5		0.989933
254844		0.500039		0.500042		0.500036		0.5		0.5		0.5		0.999921
254845		0.515164		0.516086		0.51426		0.5		0.5		0.5		0.969672
