Dataset 	CL_b 		CL_b_up 		CL_b_do 		CL_s+b 		CL_s+b_up 		CL_s+b_do 	 \\ 
254601		0.601304		0.607645		0.59492		0.5		0.5		0.5
254602		0.61802		0.618247		0.617805		0.489623		0.48105		0.498238
254603		0.603141		0.602523		0.603747		0.0117556		0.00816891		0.0168188
254604		0.610376		0.610026		0.610572		0.247905		0.228841		0.267644
254605		0.594716		0.593557		0.595697		0.000131506		6.29727e-05		0.000275504
254606		0.61751		0.617714		0.61732		0.484726		0.476423		0.4931
254607		0.604759		0.604164		0.605152		0.0468606		0.0376778		0.0581348
254608		0.601652		0.600899		0.602525		0.0083432		0.00541906		0.0127457
254609		0.606261		0.605398		0.6071		0.418918		0.408027		0.430162
254610		0.615956		0.615129		0.615634		0.476698		0.465549		0.486695
254611		0.604547		0.603337		0.605777		0.227602		0.209989		0.246531
254612		0.595235		0.594329		0.59599		5.13301e-05		2.35012e-05		0.000112568
254613		0.611477		0.610898		0.612037		0.165659		0.145883		0.187382
254614		0.611793		0.611537		0.612038		0.404819		0.393089		0.416751
254615		0.608758		0.608206		0.609303		0.256425		0.239629		0.274208
254617		0.605366		0.605108		0.605922		0.00480851		0.00306282		0.00749548
254618		0.615514		0.615128		0.615546		0.418364		0.406138		0.430366
254620		0.61602		0.61627		0.615779		0.48357		0.475697		0.491476
254621		0.610077		0.609611		0.610545		0.00969901		0.0065996		0.0141069
254622		0.615441		0.615392		0.615496		0.440427		0.430385		0.450554
254623		0.600875		0.599957		0.601773		0.00257782		0.00153011		0.00430788
254625		0.602427		0.60153		0.603298		0.0171216		0.0122197		0.0238461
254626		0.594751		0.599996		0.589437		0.5		0.5		0.5
254627		0.605189		0.604567		0.605917		6.6205e-06		2.29548e-06		1.89395e-05
254628		0.613861		0.613773		0.613949		0.343736		0.329004		0.358776
254629		0.612161		0.61189		0.612125		0.309636		0.29154		0.328224
254630		0.609216		0.608962		0.609489		0.117433		0.101898		0.134872
254631		0.591396		0.597011		0.585672		0.5		0.5		0.5
254632		0.581637		0.5867		0.576543		0.5		0.5		0.5
254633		0.609475		0.609478		0.609763		0.320847		0.303977		0.338626
254634		0.606027		0.605522		0.606529		0.0206192		0.0153126		0.0276377
254635		0.611298		0.610828		0.611779		0.0381119		0.0289238		0.0497613
254636		0.537763		0.540495		0.535027		0.5		0.5		0.5
254637		0.609034		0.608568		0.609461		0.154637		0.136573		0.174681
254638		0.609102		0.608564		0.609627		0.21087		0.192742		0.230257
254639		0.578215		0.58315		0.573257		0.5		0.5		0.5
254641		0.561223		0.565708		0.556727		0.5		0.5		0.5
254643		0.615047		0.614897		0.615404		0.417421		0.403227		0.432103
254644		0.615232		0.615115		0.615348		0.355862		0.339621		0.372473
254645		0.602212		0.601791		0.602961		0.00304206		0.00185141		0.00495639
254646		0.596577		0.595717		0.596931		0.000111289		5.47487e-05		0.000226584
254647		0.61384		0.613751		0.614196		0.414173		0.401351		0.427425
254648		0.548737		0.551573		0.545826		0.5		0.5		0.5
254649		0.614829		0.614356		0.615222		0.277752		0.258188		0.298273
254650		0.603872		0.603238		0.604397		0.0391123		0.0303434		0.050145
254651		0.557205		0.560764		0.553616		0.5		0.5		0.5
254652		0.616329		0.616301		0.617072		0.468775		0.459556		0.478778
254653		0.612083		0.611633		0.612381		0.0702236		0.0574006		0.085357
254654		0.598843		0.598109		0.599688		9.74618e-06		3.87231e-06		2.45296e-05
254655		0.598504		0.597534		0.599189		0.00502044		0.00334239		0.00753299
254656		0.617057		0.617273		0.609808		0.49935		0.491385		0.5
254657		0.613507		0.613211		0.613798		0.439608		0.428771		0.450581
254658		0.614225		0.614138		0.614473		0.171543		0.152088		0.192829
254659		0.513995		0.514816		0.513175		0.5		0.5		0.5
254660		0.59202		0.591424		0.593041		0.00750127		0.00536408		0.0105202
254661		0.607766		0.607267		0.608366		0.0630259		0.0514838		0.0769257
254662		0.612289		0.611898		0.612678		0.451404		0.44062		0.462336
254663		0.601543		0.600997		0.602283		0.0107977		0.00752876		0.0154038
254665		0.609341		0.608943		0.609837		0.139046		0.121363		0.15889
254666		0.599399		0.598665		0.600151		0.00019848		9.42597e-05		0.000416136
