Dataset 	CL_b 		CL_b_up 		CL_b_do 		CL_s+b 		CL_s+b_up 		CL_s+b_do 	 \\ 
254600		0.546688		0.549693		0.543674		0.5		0.5		0.5
254601		0.693674		0.704313		0.682751		0.5		0.5		0.5
254602		0.787705		0.786933		0.78287		0.485509		0.463666		0.5
254603		0.770667		0.769847		0.77149		0.325306		0.301493		0.35045
254604		0.741508		0.753625		0.728814		0.5		0.5		0.5
254605		0.740168		0.737662		0.743039		0.0129185		0.00962839		0.0174739
254606		0.777175		0.776277		0.778299		0.260193		0.235339		0.287223
254607		0.756408		0.754679		0.758133		0.110349		0.0934941		0.130127
254608		0.755553		0.754034		0.757127		0.0760992		0.0630667		0.0918539
254609		0.769003		0.768129		0.769879		0.283115		0.259754		0.308071
254610		0.644643		0.652385		0.636967		0.5		0.5		0.5
254611		0.749217		0.76134		0.736506		0.5		0.5		0.5
254612		0.738604		0.736326		0.741009		0.00438288		0.00312564		0.00622049
254613		0.732537		0.744144		0.72047		0.5		0.5		0.5
254617		0.750104		0.748361		0.752121		0.144694		0.126848		0.165226
254618		0.781938		0.781716		0.768233		0.49986		0.481427		0.5
254619		0.698925		0.704701		0.692432		0.5		0.5		0.5
254621		0.768042		0.766641		0.769398		0.0513476		0.0406829		0.0645245
254622		0.778943		0.778379		0.779732		0.464942		0.443815		0.486804
254623		0.7494		0.747537		0.751278		0.0514011		0.0415259		0.0637014
254625		0.74484		0.742736		0.747041		0.280216		0.261459		0.300548
254627		0.768119		0.766425		0.769851		0.095626		0.0780542		0.116759
254629		0.747403		0.744134		0.75079		0.208011		0.187444		0.230822
254630		0.766076		0.764792		0.767347		0.176849		0.153854		0.202764
254631		0.764926		0.763432		0.767007		0.458998		0.440582		0.478765
254632		0.616859		0.624153		0.609479		0.5		0.5		0.5
254633		0.611168		0.61803		0.604135		0.5		0.5		0.5
254634		0.748907		0.747135		0.750668		0.122363		0.106104		0.141121
254635		0.779481		0.778335		0.780641		0.399749		0.375988		0.42442
254636		0.769283		0.768491		0.770077		0.345609		0.322563		0.369803
254637		0.742619		0.73714		0.748144		0.240298		0.217396		0.265929
254638		0.765731		0.764144		0.766916		0.419036		0.397368		0.441027
254639		0.635421		0.64413		0.626558		0.5		0.5		0.5
254641		0.773601		0.772722		0.774497		0.431546		0.409145		0.454677
254643		0.754078		0.768588		0.738885		0.5		0.5		0.5
254644		0.696707		0.706754		0.686429		0.5		0.5		0.5
254645		0.750636		0.748782		0.752526		0.0419316		0.0335321		0.0525762
254646		0.737181		0.734709		0.739631		0.00286846		0.00199522		0.00418442
254647		0.716287		0.728917		0.703234		0.5		0.5		0.5
254648		0.550892		0.553836		0.54794		0.5		0.5		0.5
254649		0.780171		0.778895		0.78166		0.461798		0.438987		0.485474
254650		0.746594		0.744835		0.748451		0.0431676		0.0349159		0.0535264
254651		0.643188		0.650798		0.635475		0.5		0.5		0.5
254652		0.753948		0.751357		0.756113		0.426239		0.406887		0.445906
254653		0.78086		0.779846		0.781882		0.432031		0.407829		0.456934
254654		0.758209		0.756647		0.759651		0.100911		0.085281		0.119329
254655		0.742676		0.740141		0.745135		0.00694697		0.00494933		0.00980535
254657		0.764337		0.762495		0.765889		0.426422		0.40463		0.448766
254658		0.626567		0.634527		0.618464		0.5		0.5		0.5
254659		0.549723		0.553385		0.54605		0.5		0.5		0.5
254660		0.710065		0.720616		0.698657		0.5		0.5		0.5
254661		0.763285		0.761813		0.764732		0.190562		0.169209		0.214385
254662		0.761239		0.759614		0.762914		0.306985		0.281143		0.33491
254663		0.759384		0.757872		0.760949		0.121571		0.102168		0.144631
254665		0.73544		0.733335		0.737596		0.1286		0.113448		0.146031
254666		0.762231		0.760793		0.763695		0.177378		0.15545		0.202114
254667		0.753885		0.752277		0.755569		0.0976868		0.0825873		0.115638
254669		0.737786		0.748848		0.726234		0.5		0.5		0.5
254670		0.760972		0.759303		0.762679		0.072111		0.0573858		0.0904915
254671		0.746812		0.745054		0.748628		0.113107		0.0981516		0.130465
254672		0.762203		0.760968		0.763449		0.184993		0.164163		0.208227
254673		0.759959		0.75887		0.761199		0.185856		0.164959		0.209336
254674		0.766328		0.764731		0.767709		0.320477		0.294827		0.347538
254675		0.529075		0.531347		0.5268		0.5		0.5		0.5
254676		0.505468		0.50589		0.505045		0.5		0.5		0.5
254677		0.529456		0.531357		0.527552		0.5		0.5		0.5
254678		0.563674		0.568304		0.559023		0.5		0.5		0.5
254681		0.520024		0.521258		0.518788		0.5		0.5		0.5
254682		0.541445		0.544251		0.538632		0.5		0.5		0.5
254683		0.528988		0.530731		0.527242		0.5		0.5		0.5
254684		0.640819		0.649495		0.632021		0.5		0.5		0.5
254685		0.59477		0.600593		0.588905		0.5		0.5		0.5
254686		0.578301		0.583031		0.573547		0.5		0.5		0.5
254687		0.52882		0.530747		0.52689		0.5		0.5		0.5
254688		0.532471		0.53449		0.530449		0.5		0.5		0.5
254691		0.614393		0.6216		0.607111		0.5		0.5		0.5
254693		0.569884		0.574525		0.565221		0.5		0.5		0.5
254694		0.564489		0.568824		0.56014		0.5		0.5		0.5
254695		0.562704		0.566495		0.558898		0.5		0.5		0.5
254696		0.660546		0.671162		0.64972		0.5		0.5		0.5
254697		0.523401		0.524821		0.52198		0.5		0.5		0.5
254698		0.565618		0.569846		0.561372		0.5		0.5		0.5
254699		0.581761		0.586854		0.576638		0.5		0.5		0.5
254700		0.540934		0.543599		0.538262		0.5		0.5		0.5
254701		0.544769		0.54754		0.541985		0.5		0.5		0.5
254702		0.595919		0.601399		0.5904		0.5		0.5		0.5
254703		0.536944		0.539232		0.534651		0.5		0.5		0.5
254704		0.56564		0.569737		0.561526		0.5		0.5		0.5
254705		0.533883		0.535994		0.53177		0.5		0.5		0.5
254706		0.574552		0.579361		0.569718		0.5		0.5		0.5
254707		0.544924		0.547503		0.54234		0.5		0.5		0.5
254708		0.534909		0.53724		0.532571		0.5		0.5		0.5
254709		0.569857		0.574509		0.56518		0.5		0.5		0.5
254710		0.534541		0.536964		0.532117		0.5		0.5		0.5
254711		0.526774		0.528545		0.525001		0.5		0.5		0.5
254712		0.531914		0.533794		0.53003		0.5		0.5		0.5
254714		0.583965		0.589356		0.57854		0.5		0.5		0.5
254716		0.557385		0.562118		0.552629		0.5		0.5		0.5
254717		0.567358		0.571627		0.563072		0.5		0.5		0.5
254718		0.546672		0.549681		0.543657		0.5		0.5		0.5
254719		0.537948		0.540413		0.535478		0.5		0.5		0.5
254720		0.584951		0.590295		0.579574		0.5		0.5		0.5
254721		0.560872		0.56461		0.557119		0.5		0.5		0.5
254722		0.544959		0.54781		0.5421		0.5		0.5		0.5
254723		0.522491		0.523856		0.521124		0.5		0.5		0.5
254724		0.562688		0.566526		0.558834		0.5		0.5		0.5
254725		0.573197		0.577808		0.568564		0.5		0.5		0.5
254726		0.575194		0.580433		0.569917		0.5		0.5		0.5
254727		0.619699		0.626925		0.612399		0.5		0.5		0.5
254729		0.514562		0.515573		0.51355		0.5		0.5		0.5
