Dataset 	CL_b 		CL_b_up 		CL_b_do 		CL_s+b 		CL_s+b_up 		CL_s+b_do 	 \\ 
254603		0.563986		0.563313		0.564722		0.000513227		0.000298792		0.000888284
254604		0.577844		0.577733		0.577957		0.310947		0.295694		0.326663
254605		0.56578		0.565203		0.566377		0.00130293		0.000837977		0.00203634
254607		0.569861		0.569401		0.570502		0.0797656		0.067838		0.0937101
254608		0.565808		0.565272		0.566394		0.0019464		0.00127478		0.00298821
254609		0.580708		0.580677		0.580741		0.457835		0.450798		0.464911
254611		0.57883		0.578648		0.579008		0.440178		0.432192		0.44826
254612		0.563646		0.562863		0.564296		2.44826e-05		1.20521e-05		5.0937e-05
254614		0.580794		0.580868		0.580718		0.490409		0.484979		0.495853
254615		0.579093		0.579005		0.579181		0.375507		0.361588		0.389687
254617		0.574569		0.574232		0.574907		0.077631		0.0653362		0.09193
254618		0.578611		0.578523		0.578901		0.403445		0.390407		0.416895
254619		0.580453		0.579957		0.580337		0.47705		0.468365		0.485151
254620		0.579663		0.579585		0.579741		0.375952		0.363501		0.388609
254622		0.562395		0.565966		0.558815		0.5		0.5		0.5
254623		0.563488		0.562966		0.564028		7.69519e-05		4.09783e-05		0.00014613
254625		0.567334		0.566894		0.567978		0.00154908		0.000949997		0.00253138
254628		0.575201		0.574839		0.575543		0.267822		0.251509		0.284977
254630		0.57846		0.578346		0.578575		0.335246		0.318204		0.352788
254633		0.578399		0.578333		0.578465		0.392997		0.382849		0.40327
254634		0.571357		0.570938		0.571785		0.0490041		0.040417		0.0592951
254636		0.580779		0.580856		0.580701		0.493251		0.486711		0.499812
254637		0.567487		0.566886		0.568116		0.00276995		0.00177056		0.0043393
254638		0.579799		0.579727		0.580078		0.388312		0.376668		0.400335
254643		0.571465		0.57098		0.571961		0.0848453		0.0724404		0.0992523
254644		0.550095		0.553006		0.547178		0.5		0.5		0.5
254645		0.56981		0.569364		0.570269		0.0228875		0.0176782		0.0295758
254646		0.5659		0.565262		0.566568		0.0292		0.0228232		0.0374011
254647		0.576793		0.5767		0.576885		0.368081		0.356383		0.379979
254650		0.565194		0.564534		0.565882		3.54158e-05		1.70325e-05		7.47857e-05
254651		0.574512		0.579107		0.569896		0.5		0.5		0.5
254652		0.578936		0.578816		0.579253		0.397114		0.386831		0.407731
254654		0.569695		0.569163		0.570229		0.00754178		0.00520452		0.0109059
254655		0.569341		0.568867		0.569822		0.0110399		0.00817937		0.0148815
254657		0.57601		0.575557		0.576458		0.434056		0.425383		0.442966
254660		0.566614		0.566053		0.567198		0.00617218		0.004263		0.00895881
254661		0.565799		0.565149		0.566488		1.28484e-05		5.64887e-06		2.96254e-05
254662		0.568351		0.567863		0.568871		0.00478292		0.00322314		0.00709592
254663		0.562983		0.562586		0.563907		2.73414e-08		8.55196e-09		9.12048e-08
254665		0.564482		0.56382		0.565181		1.93403e-05		8.89154e-06		4.27039e-05
254666		0.562457		0.561793		0.563081		7.87289e-05		4.37601e-05		0.000143401
254667		0.565347		0.564701		0.566012		1.87083e-05		9.30744e-06		3.80865e-05
254669		0.563841		0.56313		0.564569		4.32321e-05		2.18122e-05		8.67165e-05
254670		0.563708		0.56306		0.564315		5.59774e-06		2.47607e-06		1.29532e-05
254671		0.56379		0.563129		0.564265		1.71566e-06		7.35202e-07		4.10438e-06
254672		0.56211		0.561153		0.562879		1.00831e-07		3.46319e-08		3.04231e-07
254673		0.561626		0.561053		0.562242		0.000243412		0.000149373		0.000400347
254674		0.567362		0.566841		0.567916		0.000132654		6.99763e-05		0.000252715
254675		0.517761		0.518873		0.516649		0.5		0.5		0.5
254677		0.529434		0.531399		0.527466		0.5		0.5		0.5
254678		0.527307		0.529004		0.525608		0.5		0.5		0.5
254680		0.518106		0.51924		0.516972		0.5		0.5		0.5
254735		0.57011		0.569532		0.570656		0.00391284		0.00251038		0.00608495
254754		0.567877		0.567409		0.568177		0.00194822		0.00123769		0.00307292
254761		0.571442		0.571141		0.571993		0.0364808		0.0285438		0.0464806
254877		0.575631		0.575232		0.575981		0.138048		0.120711		0.157369
254910		0.570172		0.569557		0.570795		0.0465958		0.0380062		0.0570549
254942		0.562892		0.562186		0.563589		0.0258087		0.0201712		0.0331244
254943		0.571994		0.57146		0.572506		0.0107914		0.00753913		0.0153795
254944		0.566042		0.565501		0.566728		0.000362296		0.000205377		0.000641557
254946		0.507884		0.508493		0.507275		0.5		0.5		0.5
254948		0.504214		0.504502		0.503925		0.5		0.5		0.5
254949		0.505783		0.506206		0.50536		0.5		0.5		0.5
254980		0.580299		0.580204		0.580395		0.459016		0.450198		0.467916
254981		0.502134		0.502305		0.501963		0.5		0.5		0.5
254982		0.508027		0.508603		0.50745		0.5		0.5		0.5
254984		0.504046		0.504368		0.503724		0.5		0.5		0.5
254996		0.523247		0.524679		0.521814		0.5		0.5		0.5
254997		0.546314		0.549112		0.54351		0.5		0.5		0.5
254998		0.514473		0.51549		0.513455		0.5		0.5		0.5
255000		0.508312		0.508883		0.507741		0.5		0.5		0.5
