Dataset 	CL_b 		CL_b_up 		CL_b_do 		CL_s+b 		CL_s+b_up 		CL_s+b_do 		CL_exp\\ 
254600		0.562144		0.566457		0.557813		0.5		0.5		0.5		0.875712
254601		0.503797		0.504091		0.503503		0.5		0.5		0.5		0.992406
254602		0.544562		0.547107		0.542011		0.5		0.5		0.5		0.910875
254603		0.595214		0.59424		0.596106		0.0644608		0.0553915		0.0751559		0.078519
254605		0.603705		0.602977		0.604665		0.20354		0.18837		0.220039		0.274837
254607		0.615576		0.615437		0.615716		0.4186		0.407274		0.430094		0.617528
254608		0.595891		0.594705		0.596903		0.127377		0.11231		0.144759		0.167094
254612		0.594228		0.594117		0.595078		0.128772		0.11802		0.140875		0.170484
254613		0.612307		0.611724		0.612906		0.212454		0.193597		0.232873		0.278688
254617		0.611068		0.610701		0.611445		0.25925		0.242717		0.276679		0.353531
254618		0.608943		0.615426		0.602402		0.5		0.5		0.5		0.782114
254621		0.60562		0.604691		0.606418		0.177745		0.161354		0.195475		0.233295
254623		0.59784		0.596794		0.598946		0.0262372		0.021219		0.032616		0.028744
254625		0.613118		0.613612		0.606012		0.5		0.493354		0.5		0.773765
254626		0.61656		0.616624		0.616495		0.48733		0.479612		0.495095		0.742744
254627		0.614962		0.614532		0.615391		0.342337		0.326722		0.358508		0.484947
254630		0.614522		0.614305		0.610885		0.497674		0.491468		0.5		0.766500
254635		0.61086		0.610163		0.611562		0.259107		0.241917		0.277347		0.353583
254636		0.61052		0.617276		0.602938		0.5		0.499227		0.5		0.778960
254637		0.600448		0.599544		0.601372		0.095774		0.0838377		0.109489		0.118637
254641		0.618904		0.618939		0.612902		0.499129		0.492058		0.5		0.760529
254643		0.592504		0.591063		0.594119		0.0893455		0.0784191		0.102186		0.114385
254645		0.616587		0.616673		0.6165		0.48785		0.477649		0.498134		0.743676
254649		0.512987		0.513851		0.512123		0.5		0.5		0.5		0.974026
254650		0.598025		0.597085		0.598995		0.0400924		0.0331987		0.0486135		0.045733
254651		0.616878		0.616949		0.613699		0.494072		0.484961		0.5		0.754925
254652		0.59011		0.595225		0.584966		0.5		0.5		0.5		0.819779
254653		0.618506		0.618384		0.619194		0.459928		0.450129		0.470394		0.687555
254654		0.612434		0.611961		0.612903		0.313114		0.296381		0.330566		0.439694
254655		0.611814		0.611675		0.611953		0.431439		0.421178		0.441843		0.647843
254660		0.599002		0.598145		0.599976		0.155788		0.140994		0.172327		0.206702
254661		0.59951		0.598515		0.600519		0.0189934		0.0147029		0.0246087		0.019961
254662		0.59736		0.59628		0.598349		0.00369555		0.00263305		0.00523856		0.003442
254663		0.597386		0.59605		0.598683		0.136961		0.123187		0.152427		0.180030
254665		0.59118		0.59008		0.592519		0.000207729		0.000126153		0.000350435		0.000169
254666		0.602077		0.601204		0.60297		0.0622254		0.0521586		0.0743505		0.072640
254667		0.6037		0.602982		0.604441		0.0648962		0.0553214		0.076183		0.075427
254669		0.594058		0.59318		0.595133		0.0353717		0.0293166		0.0428884		0.040843
254670		0.604882		0.604221		0.605425		0.188463		0.172377		0.205891		0.250317
254671		0.583281		0.582207		0.584412		0.0137391		0.0110606		0.0171894		0.015737
254672		0.59164		0.590755		0.592276		0.000863257		0.000581471		0.00130407		0.000764
254673		0.59219		0.590979		0.593408		0.0430767		0.0357718		0.0520929		0.051268
254674		0.606564		0.605925		0.607217		0.0742305		0.0630739		0.0873565		0.086278
254675		0.575529		0.580165		0.57087		0.5		0.5		0.5		0.848942
254678		0.60323		0.601212		0.604958		0.386252		0.371662		0.401486		0.581759
254681		0.521296		0.522527		0.520061		0.5		0.5		0.5		0.957409
254682		0.531522		0.533599		0.529442		0.5		0.5		0.5		0.936957
254684		0.615433		0.615049		0.61582		0.234236		0.215922		0.253716		0.308452
254685		0.507003		0.507442		0.506565		0.5		0.5		0.5		0.985993
254686		0.505842		0.506181		0.505503		0.5		0.5		0.5		0.988316
254687		0.520138		0.521329		0.518953		0.5		0.5		0.5		0.959723
254688		0.557606		0.561875		0.55332		0.5		0.5		0.5		0.884788
254690		0.535067		0.536961		0.533041		0.5		0.5		0.5		0.929866
254691		0.548262		0.551116		0.545401		0.5		0.5		0.5		0.903476
254693		0.507756		0.508242		0.50727		0.5		0.5		0.5		0.984488
254694		0.507096		0.507623		0.506568		0.5		0.5		0.5		0.985809
254695		0.511936		0.512631		0.51124		0.5		0.5		0.5		0.976129
254696		0.613059		0.61252		0.613602		0.296683		0.280014		0.314097		0.411495
254697		0.559703		0.563321		0.556072		0.5		0.5		0.5		0.880595
254698		0.510864		0.511501		0.510226		0.5		0.5		0.5		0.978272
254699		0.518404		0.519694		0.517113		0.5		0.5		0.5		0.963192
254700		0.563078		0.567197		0.558943		0.5		0.5		0.5		0.873844
254701		0.566615		0.571104		0.562106		0.5		0.5		0.5		0.866769
254702		0.529042		0.530807		0.527274		0.5		0.5		0.5		0.941917
254703		0.514677		0.515904		0.51345		0.5		0.5		0.5		0.970645
254705		0.517941		0.519042		0.516839		0.5		0.5		0.5		0.964118
254706		0.506943		0.507387		0.5065		0.5		0.5		0.5		0.986113
254707		0.537476		0.539958		0.534986		0.5		0.5		0.5		0.925049
254708		0.587314		0.59276		0.581837		0.5		0.5		0.5		0.825372
254709		0.518894		0.520001		0.517787		0.5		0.5		0.5		0.962212
254712		0.516884		0.517964		0.515803		0.5		0.5		0.5		0.966232
254714		0.530411		0.53232		0.5285		0.5		0.5		0.5		0.939178
254715		0.57502		0.579598		0.57042		0.5		0.5		0.5		0.849960
254716		0.618648		0.618495		0.618803		0.422204		0.410055		0.434522		0.618351
254717		0.502086		0.502247		0.501929		0.5		0.5		0.5		0.995827
254718		0.519486		0.52086		0.518111		0.5		0.5		0.5		0.961028
254720		0.525414		0.526926		0.523927		0.5		0.5		0.5		0.949173
254721		0.50449		0.504788		0.504191		0.5		0.5		0.5		0.991021
254725		0.505114		0.50545		0.504778		0.5		0.5		0.5		0.989772
254727		0.523943		0.525407		0.522475		0.5		0.5		0.5		0.952114
254729		0.506344		0.506813		0.505875		0.5		0.5		0.5		0.987312
254731		0.544236		0.547197		0.541265		0.5		0.5		0.5		0.911527
254733		0.503389		0.503619		0.50316		0.5		0.5		0.5		0.993222
254734		0.518457		0.519522		0.517389		0.5		0.5		0.5		0.963086
254735		0.595423		0.594237		0.596777		0.00915016		0.00674437		0.0125111		0.009295
254736		0.507246		0.507696		0.506795		0.5		0.5		0.5		0.985509
254738		0.511297		0.512018		0.510574		0.5		0.5		0.5		0.977406
254739		0.508082		0.50855		0.507613		0.5		0.5		0.5		0.983837
254740		0.514569		0.514314		0.514939		0.5		0.5		0.5		0.970862
254742		0.516171		0.517273		0.515068		0.5		0.5		0.5		0.967658
254743		0.598505		0.605231		0.591722		0.5		0.5		0.5		0.802991
254744		0.514594		0.515464		0.513725		0.5		0.5		0.5		0.970812
254747		0.523544		0.524961		0.522124		0.5		0.5		0.5		0.952912
254748		0.534809		0.537315		0.532299		0.5		0.5		0.5		0.930382
254754		0.603405		0.602609		0.604223		0.0241563		0.0191014		0.0306092		0.025301
254755		0.527904		0.529572		0.526234		0.5		0.5		0.5		0.944193
254756		0.504498		0.504778		0.504218		0.5		0.5		0.5		0.991003
254757		0.619096		0.61897		0.619224		0.454236		0.443891		0.464716		0.675894
254758		0.529302		0.53116		0.527443		0.5		0.5		0.5		0.941396
254759		0.515775		0.516969		0.514579		0.5		0.5		0.5		0.968451
254760		0.527546		0.52925		0.525832		0.5		0.5		0.5		0.944908
254761		0.593878		0.593126		0.594817		0.00258575		0.001833		0.00368221		0.002416
254762		0.547753		0.550866		0.544631		0.5		0.5		0.5		0.904493
254763		0.522026		0.523306		0.520748		0.5		0.5		0.5		0.955948
254765		0.506872		0.507307		0.506436		0.5		0.5		0.5		0.986257
254766		0.524426		0.525943		0.522907		0.5		0.5		0.5		0.951148
254767		0.51731		0.518405		0.516215		0.5		0.5		0.5		0.965380
254768		0.505335		0.505658		0.505012		0.5		0.5		0.5		0.989329
254769		0.52981		0.531901		0.527716		0.5		0.5		0.5		0.940379
254771		0.512731		0.513638		0.511822		0.5		0.5		0.5		0.974538
254772		0.510028		0.510796		0.509259		0.5		0.5		0.5		0.979945
254773		0.510497		0.511122		0.509873		0.5		0.5		0.5		0.979006
254774		0.557337		0.560712		0.553951		0.5		0.5		0.5		0.885327
254775		0.619622		0.619654		0.619589		0.48489		0.476623		0.493218		0.732072
254776		0.531156		0.533027		0.529283		0.5		0.5		0.5		0.937687
254778		0.522745		0.524161		0.521329		0.5		0.5		0.5		0.954510
254779		0.507639		0.508112		0.507167		0.5		0.5		0.5		0.984721
254780		0.529221		0.531182		0.527255		0.5		0.5		0.5		0.941559
254781		0.533585		0.535573		0.531593		0.5		0.5		0.5		0.932829
254783		0.502093		0.502237		0.501949		0.5		0.5		0.5		0.995814
254786		0.517942		0.519212		0.516672		0.5		0.5		0.5		0.964115
254787		0.515908		0.516984		0.51483		0.5		0.5		0.5		0.968184
254788		0.520454		0.521702		0.519207		0.5		0.5		0.5		0.959091
254789		0.506001		0.50638		0.505623		0.5		0.5		0.5		0.987998
254790		0.509554		0.510114		0.508992		0.5		0.5		0.5		0.980893
254793		0.52198		0.523271		0.520688		0.5		0.5		0.5		0.956041
254796		0.559921		0.563568		0.556261		0.5		0.5		0.5		0.880158
254797		0.582316		0.587961		0.576634		0.5		0.5		0.5		0.835367
254798		0.520258		0.521602		0.518909		0.5		0.5		0.5		0.959484
254802		0.552163		0.555176		0.549141		0.5		0.5		0.5		0.895675
254803		0.50264		0.502825		0.502454		0.5		0.5		0.5		0.994721
254806		0.520929		0.522367		0.51949		0.5		0.5		0.5		0.958142
254808		0.534934		0.537074		0.532794		0.5		0.5		0.5		0.930133
254809		0.619363		0.619333		0.614651		0.4968		0.488696		0.5		0.755172
254810		0.552712		0.556648		0.548763		0.5		0.5		0.5		0.894575
254811		0.508623		0.509131		0.508115		0.5		0.5		0.5		0.982753
254820		0.602436		0.601652		0.603263		0.0359314		0.0295464		0.0437488		0.039432
254877		0.608977		0.608386		0.609587		0.0943027		0.0805236		0.110385		0.111527
254910		0.591178		0.589067		0.59403		0.170336		0.158141		0.184805		0.236645
254942		0.577369		0.574524		0.579068		0.410521		0.403507		0.417885		0.673483
254943		0.599076		0.598249		0.60008		0.000242741		0.000137882		0.000432021		0.000184
254944		0.599297		0.598357		0.60029		0.0170199		0.0130405		0.0222757		0.017734
254946		0.50467		0.505018		0.504322		0.5		0.5		0.5		0.990660
254948		0.530283		0.532335		0.528229		0.5		0.5		0.5		0.939433
254982		0.506221		0.506669		0.505773		0.5		0.5		0.5		0.987558
254984		0.509882		0.510503		0.509262		0.5		0.5		0.5		0.980235
254996		0.519356		0.520794		0.517917		0.5		0.5		0.5		0.961288
254997		0.510974		0.511626		0.510322		0.5		0.5		0.5		0.978052
255000		0.503544		0.50378		0.503309		0.5		0.5		0.5		0.992911
Dataset 	CL_b 		CL_b_up 		CL_b_do 		CL_s+b 		CL_s+b_up 		CL_s+b_do 		CL_exp\\ 
254813		0.542508		0.545032		0.539976		0.5		0.5		0.5		0.914984
254814		0.532038		0.533964		0.53011		0.5		0.5		0.5		0.935924
254815		0.513009		0.51388		0.512137		0.5		0.5		0.5		0.973983
254818		0.515853		0.516804		0.5149		0.5		0.5		0.5		0.968295
254819		0.603735		0.609736		0.597688		0.5		0.5		0.5		0.792530
254822		0.507293		0.507719		0.506866		0.5		0.5		0.5		0.985415
254824		0.524718		0.526239		0.523196		0.5		0.5		0.5		0.950564
254825		0.506846		0.507245		0.506447		0.5		0.5		0.5		0.986308
254827		0.523877		0.52533		0.522421		0.5		0.5		0.5		0.952247
254828		0.522037		0.523403		0.520671		0.5		0.5		0.5		0.955926
254829		0.518804		0.520021		0.517586		0.5		0.5		0.5		0.962393
254830		0.507878		0.508331		0.507425		0.5		0.5		0.5		0.984244
254831		0.507161		0.507584		0.506739		0.5		0.5		0.5		0.985677
254832		0.572271		0.57723		0.567287		0.5		0.5		0.5		0.855458
254835		0.506816		0.507255		0.506376		0.5		0.5		0.5		0.986369
254836		0.518674		0.519777		0.517574		0.5		0.5		0.5		0.962652
254837		0.520725		0.522163		0.51929		0.5		0.5		0.5		0.958550
254838		0.505778		0.50612		0.505435		0.5		0.5		0.5		0.988445
254839		0.502383		0.502523		0.502243		0.5		0.5		0.5		0.995234
254840		0.566031		0.569889		0.56216		0.5		0.5		0.5		0.867937
254841		0.559623		0.563287		0.555948		0.5		0.5		0.5		0.880753
254842		0.515212		0.516126		0.514298		0.5		0.5		0.5		0.969576
254843		0.516506		0.51768		0.51533		0.5		0.5		0.5		0.966988
254845		0.569556		0.573758		0.565335		0.5		0.5		0.5		0.860888
254846		0.534666		0.537037		0.532289		0.5		0.5		0.5		0.930668
254847		0.513007		0.514023		0.51199		0.5		0.5		0.5		0.973986
254848		0.515859		0.51687		0.514852		0.5		0.5		0.5		0.968281
254849		0.52913		0.531123		0.527154		0.5		0.5		0.5		0.941740
254850		0.530133		0.531924		0.528309		0.5		0.5		0.5		0.939735
254851		0.518597		0.519833		0.517361		0.5		0.5		0.5		0.962807
254855		0.513765		0.514589		0.512941		0.5		0.5		0.5		0.972470
254856		0.51308		0.513839		0.512321		0.5		0.5		0.5		0.973840
254857		0.507655		0.50819		0.507121		0.5		0.5		0.5		0.984689
254858		0.528245		0.529919		0.526569		0.5		0.5		0.5		0.943509
