Dataset 	CL_b 		CL_b_up 		CL_b_do 		CL_s+b 		CL_s+b_up 		CL_s+b_do 		CL_exp\\ 
254758		0.362816		0.362821		0.362811		0.356218		0.355843		0.356594		0.985924
254759		0.36384		0.36394		0.363745		0.307106		0.30328		0.310964		0.876146
254761		0.377873		0.378544		0.377167		0.125975		0.117011		0.135586		0.403969
254762		0.362815		0.362821		0.362809		0.35671		0.356283		0.357138		0.986977
254764		0.364348		0.36442		0.364277		0.311684		0.308774		0.314613		0.885326
254766		0.480676		0.500004		0.481863		0.480649		0.5		0.481836		0.999945
254768		0.362856		0.362865		0.362848		0.351865		0.351215		0.352517		0.976502
254772		0.363277		0.363321		0.363234		0.324702		0.322521		0.326891		0.916473
254774		0.363074		0.363102		0.363047		0.338535		0.336938		0.340138		0.947210
254778		0.362802		0.362808		0.362797		0.357331		0.356921		0.357742		0.988334
254781		0.362921		0.362932		0.36291		0.351299		0.350613		0.351985		0.975147
254783		0.362945		0.362967		0.362924		0.34314		0.341871		0.344413		0.957484
254785		0.362859		0.36287		0.362849		0.350959		0.350232		0.351687		0.974546
254787		0.36294		0.362957		0.362924		0.346722		0.345668		0.347778		0.965244
254788		0.362831		0.362837		0.362825		0.355108		0.354658		0.355558		0.983513
254790		0.362813		0.362819		0.362808		0.356419		0.356024		0.356813		0.986358
254796		0.36495		0.365094		0.364811		0.287261		0.282736		0.291831		0.828873
254798		0.362827		0.362834		0.362819		0.355339		0.354782		0.355898		0.984019
254800		0.362873		0.362867		0.36288		0.358852		0.35854		0.359165		0.991432
254802		0.363869		0.363925		0.363815		0.319893		0.317248		0.322552		0.904592
254808		0.362932		0.362945		0.36292		0.348953		0.348075		0.349833		0.970074
254820		0.396862		0.398626		0.39499		0.324376		0.321726		0.327109		0.846160
254943		0.380342		0.381215		0.379429		0.0777788		0.0697181		0.086727		0.264598
254944		0.374302		0.374946		0.373607		0.157179		0.147467		0.167428		0.492939
254980		0.368397		0.368508		0.368148		0.262765		0.256563		0.268981		0.765137
254981		0.362826		0.362837		0.362815		0.354087		0.353244		0.354932		0.981337
254998		0.362815		0.36282		0.362809		0.356306		0.355885		0.356727		0.986113
255000		0.362879		0.362893		0.362865		0.348264		0.347308		0.349222		0.968702
Dataset 	CL_b 		CL_b_up 		CL_b_do 		CL_s+b 		CL_s+b_up 		CL_s+b_do 		CL_exp\\ 
254818		0.362808		0.362814		0.362803		0.357009		0.356605		0.357413		0.987630
254819		0.372251		0.373416		0.371188		0.307753		0.304347		0.311303		0.860034
254827		0.362938		0.362928		0.362949		0.360286		0.360111		0.360462		0.994353
254837		0.362817		0.362823		0.362812		0.35609		0.355669		0.356511		0.985645
254842		0.362926		0.362941		0.362912		0.347368		0.346411		0.348326		0.966667
254843		0.362893		0.362907		0.36288		0.347221		0.346293		0.34815		0.966420
254844		0.362891		0.362885		0.362898		0.359416		0.359201		0.359632		0.992597
254847		0.363003		0.363019		0.362987		0.357063		0.356716		0.357409		0.987331
254850		0.362848		0.362857		0.362839		0.35385		0.35317		0.35453		0.980780
254851		0.362877		0.362887		0.362866		0.350477		0.349725		0.351229		0.973472
254856		0.362898		0.362911		0.362885		0.352532		0.351751		0.353314		0.977845
254857		0.362893		0.362886		0.362901		0.359539		0.359313		0.359767		0.992857
254862		0.362864		0.362874		0.362854		0.352894		0.352152		0.353637		0.978695
254863		0.362812		0.362817		0.362806		0.357045		0.356669		0.357422		0.987701
254870		0.362809		0.362814		0.362804		0.356748		0.356364		0.357132		0.987073
254871		0.362807		0.362812		0.362802		0.356894		0.356548		0.35724		0.987388
254873		0.363267		0.363293		0.36323		0.337722		0.335834		0.339604		0.945030
254881		0.362849		0.362856		0.362841		0.353756		0.3532		0.354313		0.980577
254883		0.363125		0.363102		0.363151		0.361688		0.361563		0.361817		0.996943
254884		0.363645		0.363688		0.363602		0.325094		0.322887		0.32731		0.916561
254888		0.363059		0.363037		0.363085		0.361428		0.36128		0.361579		0.996527
254890		0.363229		0.363272		0.363187		0.331526		0.329233		0.33383		0.931578
254892		0.363102		0.363123		0.363072		0.337794		0.336076		0.339505		0.945536
254893		0.362956		0.362972		0.362939		0.345538		0.34447		0.346608		0.962651
254894		0.364158		0.364067		0.364264		0.36378		0.363664		0.363912		0.999198
254897		0.362928		0.362942		0.362914		0.346802		0.345847		0.347759		0.965442
254898		0.363001		0.362985		0.363021		0.360957		0.360785		0.361131		0.995647
254906		0.362862		0.362796		0.362866		0.358247		0.357892		0.35854		0.990163
254908		0.36307		0.3631		0.36304		0.338696		0.337227		0.340168		0.947569
254912		0.362837		0.362844		0.36283		0.35376		0.353236		0.354285		0.980611
254916		0.362861		0.362873		0.36285		0.350721		0.349917		0.351525		0.974029
254918		0.362868		0.362878		0.362858		0.351427		0.350709		0.352146		0.975534
254926		0.362871		0.362867		0.362876		0.358658		0.358391		0.358926		0.991021
254931		0.362872		0.362867		0.362879		0.358808		0.358494		0.359124		0.991340
254933		0.362975		0.362995		0.362954		0.345764		0.344674		0.346855		0.963100
254934		0.362828		0.362834		0.362821		0.356522		0.356122		0.356922		0.986548
254935		0.362902		0.362899		0.362908		0.359084		0.358849		0.359319		0.991863
254936		0.362972		0.362992		0.362953		0.34439		0.343136		0.345647		0.960133
254937		0.362867		0.362863		0.362872		0.358542		0.358258		0.358826		0.990782
254940		0.362877		0.362886		0.362869		0.352553		0.351965		0.353143		0.977936
254951		0.362804		0.362808		0.362799		0.356564		0.356216		0.356912		0.986688
254952		0.362863		0.362799		0.362867		0.358173		0.357798		0.358489		0.990004
254956		0.363059		0.363078		0.36304		0.343072		0.341879		0.344267		0.957095
254960		0.36287		0.362883		0.362858		0.349684		0.34878		0.350589		0.971779
254963		0.362818		0.362823		0.362812		0.356081		0.355676		0.356486		0.985626
254964		0.362863		0.362795		0.362867		0.358324		0.357993		0.35859		0.990325
254969		0.362869		0.362864		0.362875		0.358654		0.358329		0.358981		0.991018
254970		0.363423		0.363468		0.363379		0.331045		0.328639		0.333461		0.930111
254972		0.36311		0.363132		0.363077		0.337213		0.335331		0.33909		0.944255
254973		0.363176		0.363158		0.363199		0.361646		0.361509		0.361788		0.996745
254974		0.36308		0.363105		0.363057		0.34043		0.338991		0.341874		0.951318
254988		0.362829		0.362835		0.362823		0.355743		0.355294		0.356193		0.984878
254990		0.36285		0.362858		0.362842		0.35422		0.353669		0.354771		0.981570
254993		0.362847		0.362856		0.362839		0.35274		0.352121		0.353359		0.978399
254994		0.369174		0.368779		0.369621		0.369088		0.368687		0.36954		0.999818
255001		0.362853		0.362861		0.362845		0.35352		0.352958		0.354083		0.980063
255003		0.362794		0.362799		0.362858		0.357757		0.357395		0.358188		0.989261
255005		0.362876		0.362885		0.362867		0.352049		0.351391		0.352708		0.976856
255006		0.363017		0.363002		0.363034		0.361133		0.361005		0.361262		0.995989
255008		0.362807		0.362812		0.362802		0.356931		0.356574		0.357288		0.987467
255012		0.362816		0.362822		0.362811		0.355431		0.355		0.355863		0.984237
255018		0.362891		0.362902		0.362881		0.351375		0.350645		0.352106		0.975373
255019		0.362996		0.362983		0.363012		0.360956		0.36082		0.361094		0.995657
255024		0.363582		0.36365		0.363516		0.350784		0.349891		0.35168		0.972634
255027		0.36291		0.362923		0.362897		0.350044		0.349116		0.350974		0.972470
255028		0.362853		0.362863		0.362842		0.351981		0.351286		0.352676		0.976758
255033		0.36286		0.362868		0.362851		0.35317		0.352562		0.353778		0.979297
255040		0.362883		0.362892		0.362874		0.352143		0.351526		0.35276		0.977042
255043		0.362902		0.362912		0.362892		0.350455		0.349731		0.35118		0.973373
255048		0.362898		0.36289		0.362907		0.359666		0.35945		0.359883		0.993117
255056		0.363167		0.363192		0.363142		0.340943		0.339629		0.34226		0.952247
