Dataset 	CL_b 		CL_b_up 		CL_b_do 		CL_s+b 		CL_s+b_up 		CL_s+b_do 	 \\ 
254603		0.184644		0.187947		0.181089		0.0677438		0.0647703		0.0708409
254605		0.305704		0.312787		0.297971		0.172646		0.173486		0.171554
254608		0.143245		0.144449		0.141791		0.0751826		0.0716108		0.0787664
254612		0.229703		0.235801		0.223516		0.00696119		0.00619933		0.00790674
254617		0.132089		0.132386		0.131793		0.106645		0.105468		0.107834
254618		0.212186		0.216409		0.207688		0.106439		0.10465		0.108216
254620		0.141573		0.142364		0.140782		0.0737104		0.0709428		0.0765805
254622		0.147826		0.149034		0.146613		0.0539017		0.0508636		0.0571172
254625		0.29038		0.296516		0.28318		0.185946		0.186178		0.185146
254630		0.139177		0.139998		0.139521		0.0788688		0.0758586		0.0826158
254631		0.135778		0.136246		0.135285		0.0891295		0.0869901		0.0913006
254633		0.14946		0.150627		0.14829		0.0672743		0.064328		0.0703593
254636		0.138657		0.139519		0.137846		0.0822296		0.0789327		0.0856774
254638		0.302222		0.309661		0.294528		0.183116		0.184318		0.181876
254644		0.138919		0.139635		0.139217		0.0725251		0.0700043		0.0756224
254645		0.131377		0.131656		0.131101		0.124349		0.124177		0.124524
254647		0.212198		0.215835		0.208041		0.0642434		0.0611011		0.0674931
254650		0.135923		0.136418		0.135429		0.0895949		0.0875258		0.0917077
254651		0.128522		0.128634		0.128411		0.127471		0.127513		0.12743
254654		0.157624		0.159464		0.155768		0.0426053		0.0393143		0.046188
254655		0.141073		0.141836		0.140311		0.074626		0.0719242		0.077424
254660		0.147846		0.149222		0.146471		0.0658484		0.0620926		0.0698358
254662		0.139198		0.139868		0.139715		0.0782396		0.0757322		0.0814482
254663		0.147952		0.149		0.146904		0.0659607		0.0630968		0.068957
254665		0.289147		0.29435		0.283706		0.185385		0.185687		0.185063
254666		0.171651		0.174		0.169267		0.0243344		0.0219781		0.0269771
254670		0.261979		0.264568		0.259005		0.0529106		0.0503648		0.0556446
254671		0.169959		0.172075		0.167828		0.0360527		0.0335002		0.0388416
254672		0.187185		0.190381		0.184282		0.00873082		0.00738889		0.0103678
254678		0.129799		0.129997		0.129598		0.109286		0.108177		0.1104
254735		0.155039		0.156612		0.153476		0.0458455		0.0427936		0.0491285
254754		0.14442		0.145376		0.143453		0.0702963		0.0673273		0.0733887
254761		0.174749		0.177522		0.17242		0.0605939		0.0578244		0.0636687
254877		0.132196		0.132639		0.131769		0.100266		0.0981453		0.102438
254910		0.147288		0.148644		0.145927		0.0547861		0.0513217		0.0584784
254943		0.235067		0.242663		0.227245		0.164624		0.167116		0.161958
254980		0.140887		0.141581		0.140194		0.0749785		0.0725047		0.0775319
254997		0.127671		0.127733		0.127608		0.119662		0.11926		0.120065
254998		0.129121		0.129293		0.128955		0.110133		0.109153		0.111125
255000		0.128497		0.128605		0.128389		0.118749		0.118231		0.11927
