Dataset 	CL_b 		CL_b_up 		CL_b_do 		CL_s+b 		CL_s+b_up 		CL_s+b_do 		CL_exp\\ 
254724		0.332825		0.33283		0.332821		0.328382		0.328127		0.328638		0.990218
254725		0.333387		0.333427		0.333346		0.327228		0.326891		0.327565		0.986437
254726		0.333652		0.333686		0.333617		0.30136		0.299493		0.303235		0.927778
254727		0.333133		0.333145		0.333103		0.326959		0.326524		0.327376		0.986398
254729		0.334947		0.335108		0.334787		0.330839		0.330694		0.330983		0.990979
254731		0.33342		0.333462		0.333378		0.328059		0.327771		0.328347		0.988200
254733		0.332931		0.332942		0.33292		0.329367		0.329161		0.329572		0.992159
254734		0.333458		0.333506		0.33343		0.326617		0.32623		0.327025		0.984930
254735		0.352519		0.353345		0.351656		0.0307028		0.0256303		0.0367801		0.135690
254736		0.333307		0.333345		0.333268		0.322039		0.321401		0.322678		0.975107
254738		0.333145		0.333174		0.333116		0.31373		0.312558		0.314906		0.956888
254739		0.333326		0.333374		0.333279		0.305264		0.303499		0.307035		0.937372
254740		0.332993		0.33301		0.332976		0.316591		0.315638		0.317546		0.963638
254742		0.334084		0.334177		0.333993		0.319113		0.318283		0.319946		0.966884
254743		0.336062		0.336317		0.335812		0.289269		0.28646		0.292104		0.894757
254744		0.333682		0.333751		0.333614		0.312821		0.311568		0.314077		0.953666
254747		0.332844		0.332851		0.332864		0.325778		0.325362		0.32622		0.984420
254748		0.335955		0.336174		0.335737		0.306569		0.305042		0.308105		0.934591
254752		0.333088		0.333116		0.33306		0.311979		0.310625		0.313337		0.953075
254754		0.363175		0.364325		0.362044		0.0147494		0.0118595		0.0183857		0.067734
254755		0.333345		0.333389		0.333299		0.310371		0.308944		0.311802		0.948888
254756		0.332985		0.333005		0.332966		0.315183		0.314105		0.316263		0.960499
254757		0.334714		0.334802		0.334626		0.255409		0.250904		0.259969		0.817602
254758		0.334375		0.334473		0.334278		0.331768		0.331701		0.331836		0.994277
254759		0.334878		0.335017		0.334739		0.249887		0.244993		0.254852		0.803855
254760		0.333923		0.334018		0.333849		0.276935		0.273472		0.280445		0.870625
254761		0.361391		0.362661		0.359982		0.00857811		0.00647219		0.0113972		0.042499
254762		0.333362		0.333406		0.333318		0.312643		0.311423		0.313866		0.953969
254763		0.333805		0.333855		0.333728		0.282735		0.279867		0.285599		0.884469
254764		0.334349		0.334426		0.334272		0.266882		0.263045		0.270755		0.845913
254765		0.33282		0.332824		0.332816		0.328868		0.328622		0.329115		0.991303
254766		0.33281		0.332813		0.332807		0.330218		0.330021		0.330415		0.994300
