Model: Sneutrino233
# Sneutrino mass; N1 mass; Nevents; Cross-section [pb]; Acceptance; Efficiency; Syst unc; CL obs; CL exp
 75; 10; 80000; 1.36; 0.000075; 0; 0; 1000000; 1000000;
 75; 65; 90000; 1.36; 0.002367; 0.2705; 13.81; 0.000217; 0.00039;
 150; 10; 25000; 0.08362; 0.0002; 0.4033; 13.63; 0.9466; 0.9557;
 200; 10; 20000; 0.02551; 0.00045; 0; 0; 1000000; 1000000;
 200; 50; 5000; 0.02551; 0.0082; 0.1714; 12.67; 0.7567; 0.7923;
 200; 100; 5000; 0.02551; 0.0184; 0.2227; 13.91; 0.4055; 0.4625;
 200; 190; 5000; 0.02551; 0.0444; 0.2748; 12.77; 0.05036; 0.06967;
 300; 10; 50000; 0.004182; 0.00048; 0; 0; 1000000; 1000000;
 300; 50; 5000; 0.004182; 0.0124; 0.2059; 13.31; 0.92; 0.9334;
 300; 100; 5000; 0.004182; 0.0336; 0.2316; 12.6; 0.772; 0.806;
 300; 200; 5000; 0.004182; 0.055; 0.2377; 15.9; 0.6415; 0.6887;
 300; 290; 5000; 0.004182; 0.0854; 0.1631; 13.48; 0.6272; 0.6756;
 400; 10; 150000; 0.001004; 0.0003733; 0.01488; 138.6; 1; 1;
 400; 50; 5000; 0.001004; 0.0176; 0.3021; 16.07; 0.9589; 0.9659;
 400; 100; 5000; 0.001004; 0.033; 0.2371; 16.07; 0.9418; 0.9517;
 400; 200; 5000; 0.001004; 0.0658; 0.2319; 13.78; 0.8866; 0.9051;
 400; 300; 5000; 0.001004; 0.0902; 0.204; 13.12; 0.8714; 0.8922;
 400; 390; 5000; 0.001004; 0.1052; 0.2506; 12.38; 0.8126; 0.8415;
 500; 50; 5000; 0.0002937; 0.0188; 0.09778; 14.27; 0.9961; 0.9968;
 500; 100; 5000; 0.0002937; 0.0434; 0.1891; 13.7; 0.9821; 0.9853;
 500; 200; 5000; 0.0002937; 0.0668; 0.1843; 12.65; 0.9731; 0.9778;
 500; 300; 5000; 0.0002937; 0.0946; 0.2288; 12.44; 0.9537; 0.9616;
 500; 400; 5000; 0.0002937; 0.11; 0.2322; 12.6; 0.9458; 0.955;
 500; 490; 5000; 0.0002937; 0.129; 0.2016; 12.72; 0.9456; 0.9549;
