Model: Gluino133
# Gluino mass; N1 mass; Nevents; Cross-section [pb]; Acceptance; Efficiency; Syst unc; CL obs; CL exp
 500; 10; 299900; 4.461; 0.002771; 0.0247; 11.51; 0.01525; 0.05686;
 500; 50; 15000; 4.461; 0.0156; 0.06727; 11.45; 0.006116; 0.0118;
 500; 200; 4999; 4.461; 0.05381; 0.1028; 14.02; 0.000199; 0.000382;
 500; 400; 5998; 4.461; 0.08353; 0.1531; 11.45; < 0000; < 0000;
 500; 490; 4996; 4.461; 0.1035; 0.1787; 13.25; < 0000; < 0000;
 800; 10; 299300; 0.1497; 0.003592; 0.01109; 25.04; 0.9207; 0.9583;
 800; 50; 9980; 0.1497; 0.02515; 0.06524; 13.33; 0.0279; 0.09078;
 800; 200; 4991; 0.1497; 0.06432; 0.1291; 12.75; 0000; 0.000061;
 800; 400; 4987; 0.1497; 0.09284; 0.1258; 11.39; < 0000; 0000;
 800; 600; 4991; 0.1497; 0.1158; 0.1288; 11.96; < 0000; < 0000;
 800; 750; 4989; 0.1497; 0.1385; 0.1686; 11.19; < 0000; < 0000;
 800; 790; 4989; 0.1497; 0.1527; 0.1786; 11.43; < 0000; < 0000;
 1000; 50; 4969; 0.02249; 0.03059; 0.06024; 13.77; 0.5202; 0.6979;
 1000; 200; 4971; 0.02249; 0.06498; 0.1433; 14.31; 0.03404; 0.1068;
 1000; 400; 4979; 0.02249; 0.09741; 0.08911; 12.37; 0.05616; 0.1559;
 1000; 600; 4977; 0.02249; 0.1161; 0.1336; 11.78; 0.003989; 0.01953;
 1000; 800; 4976; 0.02249; 0.1409; 0.138; 12.23; 0.001046; 0.006366;
 1000; 950; 4975; 0.02249; 0.1534; 0.1748; 11.7; 0.000127; 0.001041;
 1000; 990; 4978; 0.02249; 0.1621; 0.1565; 11.8; 0.000135; 0.001092;
 1100; 10; 59490; 0.009253; 0.004051; 0.009818; 28.37; 0.9952; 0.9975;
 1100; 50; 4967; 0.009253; 0.03241; 0.05959; 15.66; 0.7506; 0.8596;
 1100; 200; 4962; 0.009253; 0.06892; 0.1306; 16.07; 0.2603; 0.4549;
 1100; 400; 4967; 0.009253; 0.1041; 0.1061; 11.71; 0.2163; 0.4032;
 1100; 600; 4973; 0.009253; 0.1279; 0.1447; 12.62; 0.05929; 0.1622;
 1100; 800; 4969; 0.009253; 0.1403; 0.1364; 11.21; 0.06427; 0.1725;
 1100; 1000; 4965; 0.009253; 0.1519; 0.156; 11.03; 0.02609; 0.08759;
 1100; 1090; 4971; 0.009253; 0.176; 0.1736; 12.49; 0.009803; 0.04042;
 1200; 50; 4948; 0.003917; 0.03153; 0.02411; 16.29; 0.9522; 0.9752;
 1200; 200; 4956; 0.003917; 0.07526; 0.1024; 13.26; 0.622; 0.7743;
 1200; 400; 4956; 0.003917; 0.1019; 0.1014; 13.97; 0.5541; 0.7247;
 1200; 600; 4944; 0.003917; 0.1303; 0.1049; 11.67; 0.4329; 0.6263;
 1200; 800; 4960; 0.003917; 0.1462; 0.1272; 11.08; 0.3216; 0.5215;
 1200; 1000; 4957; 0.003917; 0.1457; 0.1381; 13.38; 0.2948; 0.4931;
 1200; 1150; 4946; 0.003917; 0.167; 0.1804; 11.19; 0.1551; 0.3227;
 1200; 1190; 4957; 0.003917; 0.1684; 0.199; 12.47; 0.1223; 0.2734;
 1400; 50; 2957; 0.0007432; 0.03585; 0.02854; 20.29; 0.9892; 0.9945;
 1400; 200; 4922; 0.0007432; 0.08086; 0.1031; 16.37; 0.9059; 0.9503;
 1400; 400; 4919; 0.0007432; 0.1043; 0.1069; 12.9; 0.8802; 0.9361;
 1400; 600; 4919; 0.0007432; 0.1287; 0.1154; 16.8; 0.8424; 0.9146;
 1400; 800; 4915; 0.0007432; 0.1384; 0.1017; 13.39; 0.8631; 0.9265;
 1400; 1000; 4927; 0.0007432; 0.1504; 0.1523; 11.2; 0.7707; 0.872;
 1400; 1300; 4929; 0.0007432; 0.1649; 0.1578; 11.55; 0.7349; 0.8498;
 1400; 1390; 4929; 0.0007432; 0.1783; 0.1852; 11.68; 0.6681; 0.8062;
 1700; 50; 4879; 0.00006596; 0.03013; 0.02888; 27.24; 0.9991; 0.9995;
 1700; 200; 4875; 0.00006596; 0.08779; 0.1218; 11.34; 0.9892; 0.9945;
 1700; 400; 4866; 0.00006596; 0.1167; 0.1336; 12.94; 0.9845; 0.992;
 1700; 600; 4870; 0.00006596; 0.1302; 0.08841; 11.46; 0.9898; 0.9948;
 1700; 800; 4877; 0.00006596; 0.1489; 0.09802; 11.8; 0.9857; 0.9927;
 1700; 1000; 4857; 0.00006596; 0.1569; 0.1226; 11.56; 0.9815; 0.9905;
 1700; 1200; 4863; 0.00006596; 0.1659; 0.1014; 12.56; 0.983; 0.9913;
 1700; 1400; 4880; 0.00006596; 0.1621; 0.09866; 11.84; 0.9837; 0.9917;
 1700; 1600; 4852; 0.00006596; 0.163; 0.1277; 15.04; 0.9784; 0.9889;
 1700; 1690; 4744; 0.00006596; 0.1937; 0.1424; 12.53; 0.9724; 0.9858;
